	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO
{24} {3} {17,18}	[{24}, {3}, {17, 18}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	-12.2483296289223	inf	10.7123689635792	7.29918798105114	-170.265281070674	3.49895949360766	0.858081250439284	0.505664672863117	-inf	10.4900525334626	inf	inf	inf	6.62561088355747	inf	inf	inf	3.40534915215177	12.4557280811981	-0.746503704598823	10.5392007007705	-3.06704294644706	-inf	10.6642634999792	inf	11.138945621059	0.552642020794543	inf	-234.391069836151	inf	#	6.5733452074075	11.1024514908834	10.5363945790323	0.907181374391983	11.8805783241821	inf	9.43491728430199
{18} {24,27,92} {92}	[{18}, {24, 27, 92}, {92}]	{pos_ADP} {pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur}	0.906027290448181	inf	inf	inf	-159.861087418414	0.554053749186459	-1.1241568969099	-0.440495756768264	-inf	inf	inf	inf	inf	0.838854211746181	inf	9.89085983413617	inf	2.76597287177223	inf	0.435285587193128	4.59662584308564	7.06687688102155	-inf	inf	inf	inf	-0.553722455440366	4.1875200068966	-220.055233186665	inf	inf	5.06750934356645	10.2266290604447	inf	-1.07207583311448	inf	inf	3.88663713380575
{24,27} {3} {11}	[{24, 27}, {3}, {11}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	-0.997778109103324	inf	inf	8.48560368440223	-154.912135486294	6.43798608721167	2.94715536001381	-1.17066078716611	-inf	inf	inf	inf	inf	1.04248254778867	inf	inf	5.67045529362952	4.91004448687394	5.76684982495455	0.725198302022433	9.03425524649103	2.39110470097231	-inf	inf	inf	inf	-34.7232506145418	6.86694115715826	-213.236794687093	inf	6.73216744174053	inf	inf	inf	3.04648321119136	inf	inf	4.21880806285215
{24,27} {3} {18}	[{24, 27}, {3}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	-19.0698077983105	inf	10.4892619526946	6.17967909481388	-214.557725490745	2.05484961230919	0.493295548232761	-5.75262777926879	-inf	10.4011959034925	inf	inf	inf	3.83950428537677	inf	inf	inf	2.13503031216704	9.4494798302392	-3.33537411963485	9.57145958634985	-5.47971004042036	-29.1052106038085	10.4500563846663	inf	11.1345591711874	-0.522628845182228	inf	-295.443677144322	inf	inf	3.6241347745919	10.7096524299606	10.4932278260365	0.53274664486222	inf	inf	7.16068273514671
{3} {17,18,728,730} {5}	[{3}, {728, 17, 18, 730}, {5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	-3.75127771383943	9.54295289478533	10.6717592822068	7.8158624291443	-158.786526159005	10.3068987949937	0.437062725267114	1.25533459822038	-inf	9.3328718932411	inf	inf	inf	inf	inf	inf	inf	1.91144126492977	8.10255366075147	-0.436340194451882	10.6860468989573	0.352694620571239	-inf	10.6223109175728	inf	11.285021871154	0.920274530351994	inf	-218.574715464324	inf	inf	4.6014614474656	10.9316914769712	10.6054502284365	0.400068532152976	inf	inf	1.14041163173242
{18} {5,24} {3,4,5}	[{18}, {24, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-5.08798980455025	inf	10.8925872316551	3.19340020658885	-162.436792013847	5.63771442487605	3.58318517783926	-0.492153074728855	-inf	11.088663015634	inf	inf	inf	2.37596758515728	inf	inf	inf	inf	6.17049215813708	-1.26493816855374	9.33354660241003	-0.463927036468574	-inf	10.8029564196184	inf	inf	-36.4067085911681	inf	-223.604091488295	inf	3.78004599649348	6.80523986095944	inf	11.0150755094917	3.69793010055458	inf	inf	inf
{18} {4,5} {4}	[{18}, {4, 5}, {4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	-2.39826366096287	inf	10.295286005344	2.6831561056057	-173.135273785386	8.80258050378505	0.924791723846372	-4.56892843134004	-inf	10.3402748145797	inf	10.8313655336288	inf	4.67807195496862	10.6771157926369	inf	10.9908066634633	6.52773041250853	9.02587548379888	-1.2440711601999	10.373908797481	1.17627591090171	-inf	10.2763974620073	inf	10.3771565695942	-1.61690602093816	inf	-238.345947290158	inf	8.66553976179166	inf	10.3866111194898	10.3771852976003	0.97682565524317	10.8483648652942	inf	8.03172349286298
{18} {5} {5,26}	[{18}, {5}, {26, 5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	-26.8852034304668	inf	6.07135112280586	3.89406943846355	-218.771970315386	3.59607932225703	-0.391464720728442	-9.98838371878	-54.9285075348318	10.4949304542671	inf	11.5038327420539	inf	2.50421790222137	11.1851681306123	inf	inf	0.525822799982919	4.64979290337939	-7.96807346184924	10.4311619895827	-9.8364333859028	-44.709685950019	10.4299314627141	inf	10.7587039490365	-0.546434050635859	10.3177920605941	-301.254565723102	inf	6.80040163034928	4.65678150575971	10.4125228428589	10.4550855145503	-0.35942708130533	10.8229871436004	inf	6.66269737526448
{18} {24} {3,26}	[{18}, {24}, {26, 3}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	-20.2863463865044	inf	7.86280264745422	8.51759177494759	-254.760553946298	1.07929825093949	-1.10433291349709	-14.7831351168096	-82.0783921065394	inf	inf	inf	inf	0.699703757180567	inf	inf	inf	-0.588754902362042	4.81827106638702	-13.4747372041164	inf	-5.04978231853668	-48.7506409834798	inf	inf	inf	-1.28907093663149	10.3838752478404	-37.4173170426127	inf	6.26799770148817	4.17321157034486	inf	inf	-1.03603611373617	inf	inf	3.02469854946454
{3} {18} {24}	[{3}, {18}, {24}]	{pos_NOUN} {pos_ADP} {pos_DET}	-12.4884591350763	inf	10.7915238550411	4.41755708353544	-183.649137411467	1.47205076583383	1.00944804001975	-3.68296259401395	-inf	10.7514317286165	inf	inf	inf	1.23862916570562	inf	inf	inf	5.38755776705562	3.11796388785641	-2.66707012188112	11.1007942484252	-2.90696593862354	-17.4408944849551	10.7403633768067	inf	inf	-0.505847328122829	inf	-252.835440236043	inf	2.79866759460294	4.94844440580542	inf	11.0254161623981	1.06647777875193	inf	inf	5.12276736469663
{5} {5} {18}	[{5}, {5}, {18}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP}	-31.748483708139	inf	9.22743654233427	3.13001685191659	-254.975450563485	2.73284443883584	-0.313314191578552	-23.9860126961731	-90.3920247997594	inf	inf	inf	inf	1.8211474589479	inf	inf	inf	1.47003674134567	3.92393875475741	-9.03601212117357	inf	-11.4403673144029	-73.0207414328319	inf	inf	inf	-1.18103832788337	inf	-38.840745045133	inf	8.76685133627212	2.26023498677722	10.0798668091654	inf	-0.2830788774993	inf	inf	6.55216347710202
{18} {24} {3,4,5}	[{18}, {24}, {3, 4, 5}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-4.96622706718036	inf	10.5101046542396	3.18538749796521	-162.517938147993	5.62704182583416	3.57009413810131	-0.504428483777479	-inf	10.5854518700689	inf	inf	inf	2.36366368576946	11.5332326716779	inf	inf	inf	6.15527522927571	-1.27755353926088	9.3034880302134	-0.434155414195318	-inf	10.4721993221083	inf	10.8455244460828	-36.424861257552	inf	-223.715898198112	inf	3.76754757580434	6.78014558070851	11.8522933040374	10.5859533584731	3.68462449646781	11.0471622849206	inf	inf
{92} {18} {5}	[{92}, {18}, {5}]	{feats_Number=Plur} {pos_ADP} {feats_Number=Sing}	-0.738479303059753	9.78711912996278	10.3463761987164	10.5939698529761	-146.436242318805	0.701007917075788	-0.974977920023677	-0.393492514030391	-inf	9.51051466844924	inf	10.7716105026275	inf	9.15040316117455	10.7059692251644	6.74657945604611	11.4484366453234	0.728304005770836	10.0384781279167	0.358816520957335	5.54952919311172	2.78893749671528	-inf	10.3270784902682	inf	10.5326224382839	0.407240149321735	9.51603903620076	-201.560090049847	inf	10.8595076352435	2.33554525667332	7.40116790212486	10.3287949234683	-0.929558423710175	10.7638267936512	inf	2.17939611865319
