	motifs_int	motifs_str	GR	freq_1	freq_2
51	[{5}, {3, 5}, {18}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP}	0.7461444056493425	3215	16666
1	[{5}, {3}, {18}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP}	0.7451926382363704	3224	16734
0	[{5}, {5}, {18}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP}	0.7414051729840729	3950	20607
13	[{3, 5}, {18}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0.7366076823576653	3192	16761
39	[{18}, {5}, {5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0.7302354278906049	4940	26166
14	[{5}, {18}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0.7269370177704545	3775	20086
5	[{18}, {5}, {3, 5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0.7247466589710609	4423	23605
15	[{18}, {5}, {3}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN}	0.7244813376578472	4427	23635
38	[{18}, {24}, {5}]	{pos_ADP} {pos_DET} {feats_Number=Sing}	0.7206995340169521	4675	25090
52	[{18}, {24, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0.7198212386897705	4668	25083
3	[{3}, {18}, {5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing}	0.7193151805898121	4083	21955
37	[{24}, {3}, {18}]	{pos_DET} {pos_NOUN} {pos_ADP}	0.7130776787909342	3668	19896
55	[{18}, {24, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0.7127612815808791	4313	23405
26	[{18}, {24, 5}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN}	0.7126829401628714	4314	23413
10	[{18}, {24, 27}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	0.7109753230853156	4502	24492
4	[{24, 27}, {3}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	0.7101805146924767	3522	19182
48	[{18}, {24, 27, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0.7099148275247255	4494	24485
