	motifs_int	motifs_str	k	M	f	t	T	indice
{5,24,27} {5} {17,18,728,730}	[{24, 27, 5}, {5}, {728, 17, 18, 730}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	98	36	5211	340	48978	inf
{4,5} {3,5} {5}	[{4, 5}, {3, 5}, {5}]	{feats_Gender=Masc,feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	89	8	1164	340	48978	inf
{4} {17,18,728,730} {5}	[{4}, {728, 17, 18, 730}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	113	35	5158	340	48978	inf
{730} {4,5} {4,5}	[{730}, {4, 5}, {4, 5}]	{wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	106	25	3647	340	48978	inf
{5} {17,18,728,730} {5,26}	[{5}, {728, 17, 18, 730}, {26, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,feats_Gender=Fem}	95	8	1241	340	48978	inf
{17,18,728,730} {5,26} {5}	[{728, 17, 18, 730}, {26, 5}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing}	88	5	828	340	48978	inf
{5} {17,18,730} {24}	[{5}, {17, 18, 730}, {24}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {pos_DET}	90	25	3710	340	48978	inf
{18} {5,24} {3} {18}	[{18}, {24, 5}, {3}, {18}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP}	88	36	5280	340	48978	inf
{3} {17,18} {5} {26}	[{3}, {17, 18}, {5}, {26}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Gender=Fem}	87	23	3331	340	48978	inf
{18} {24,26} {3,26}	[{18}, {24, 26}, {26, 3}]	{pos_ADP} {pos_DET,feats_Gender=Fem} {pos_NOUN,feats_Gender=Fem}	96	44	6394	340	48978	inf
{4} {4} {93}	[{4}, {4}, {93}]	{feats_Gender=Masc} {feats_Gender=Masc} {feats_Person=3}	97	1	261	340	48978	inf
{3,5} {5,11} {105}	[{3, 5}, {11, 5}, {105}]	{pos_NOUN,feats_Number=Sing} {feats_Number=Sing,pos_ADJ} {pos_PUNCT}	93	0	93	340	48978	inf
{5,26} {5} {105}	[{26, 5}, {5}, {105}]	{feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing} {pos_PUNCT}	103	11	1704	340	48978	inf
{4} {5} {18} {5}	[{4}, {5}, {18}, {5}]	{feats_Gender=Masc} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	89	24	3567	340	48978	inf
{5} {17,18} {3,5}	[{5}, {17, 18}, {3, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {pos_NOUN,feats_Number=Sing}	109	4	693	340	48978	inf
