	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {17,18} {5} {5}	[{5}, {17, 18}, {5}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	210	85	6298	661	48978	inf
{5,24} {5} {11}	[{24, 5}, {5}, {11}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {pos_ADJ}	212	85	6299	661	48978	inf
{18} {24,92} {4,92}	[{18}, {24, 92}, {4, 92}]	{pos_ADP} {pos_DET,feats_Number=Plur} {feats_Gender=Masc,feats_Number=Plur}	211	70	5212	661	48978	inf
{17,18} {4} {5}	[{17, 18}, {4}, {5}]	{lemma_de,pos_ADP} {feats_Gender=Masc} {feats_Number=Sing}	196	75	5593	661	48978	inf
{5,26} {18} {5}	[{26, 5}, {18}, {5}]	{feats_Number=Sing,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	233	95	7083	661	48978	inf
{5,24,27} {4,5} {5}	[{24, 27, 5}, {4, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing}	212	59	4419	661	48978	inf
{5,24} {3,5} {11}	[{24, 5}, {3, 5}, {11}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADJ}	208	83	6202	661	48978	inf
{4,5} {5} {730}	[{4, 5}, {5}, {730}]	{feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing} {wp_▁de}	165	15	1109	661	48978	inf
{5} {5} {17,18} {5}	[{5}, {5}, {17, 18}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	222	84	6256	661	48978	inf
{23,24,25,27} {3} {17,18}	[{24, 25, 27, 23}, {3}, {17, 18}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP}	290	156	11545	661	48978	inf
{18} {26} {5}	[{18}, {26}, {5}]	{pos_ADP} {feats_Gender=Fem} {feats_Number=Sing}	286	166	12316	661	48978	inf
{18} {4,5} {3,4,5}	[{18}, {4, 5}, {3, 4, 5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	270	152	11267	661	48978	inf
{17,18,728,730} {5} {3,5}	[{728, 17, 18, 730}, {5}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	284	186	13778	661	48978	inf
{3,5} {18} {24}	[{3, 5}, {18}, {24}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET}	262	109	8106	661	48978	inf
{3} {18} {5,24,27} {5}	[{3}, {18}, {24, 27, 5}, {5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	282	146	10861	661	48978	inf
{18} {5,24} {5} {5}	[{18}, {24, 5}, {5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing} {feats_Number=Sing}	220	82	6067	661	48978	inf
{17,18,730} {24} {3,4}	[{17, 18, 730}, {24}, {3, 4}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN,feats_Gender=Masc}	225	130	9667	661	48978	inf
{23,24,25,27} {3} {18} {5}	[{24, 25, 27, 23}, {3}, {18}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	252	109	8127	661	48978	inf
{18} {92} {4,92}	[{18}, {92}, {4, 92}]	{pos_ADP} {feats_Number=Plur} {feats_Gender=Masc,feats_Number=Plur}	243	90	6706	661	48978	inf
{17,18,728,730} {5,23,24,25,27} {3,5}	[{728, 17, 18, 730}, {5, 23, 24, 25, 27}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	272	163	12108	661	48978	inf
{5} {5} {26}	[{5}, {5}, {26}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Gender=Fem}	191	89	6589	661	48978	inf
{5} {5} {18} {5} {5}	[{5}, {5}, {18}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	220	100	7406	661	48978	inf
{5} {4,5} {4}	[{5}, {4, 5}, {4}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	235	58	4336	661	48978	inf
