	motifs_int	motifs_str	k	M	f	t	T	indice
{24} {3} {17,18}	[{24}, {3}, {17, 18}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	322	226	14978	740	48978	inf
{26} {18} {5,26}	[{26}, {18}, {26, 5}]	{feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	196	73	4879	740	48978	inf
{18} {24,92} {4}	[{18}, {24, 92}, {4}]	{pos_ADP} {pos_DET,feats_Number=Plur} {feats_Gender=Masc}	198	79	5228	740	48978	inf
{17,18} {5,24} {4,5}	[{17, 18}, {24, 5}, {4, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	258	100	6611	740	48978	inf
{5,24,27} {5} {18} {5}	[{24, 27, 5}, {5}, {18}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	234	90	5983	740	48978	inf
{5,24} {5} {5,11}	[{24, 5}, {5}, {11, 5}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {feats_Number=Sing,pos_ADJ}	204	94	6227	740	48978	inf
{5} {18} {5,24} {5,26}	[{5}, {18}, {24, 5}, {26, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem}	224	93	6197	740	48978	inf
{5} {5} {18} {24} {5}	[{5}, {5}, {18}, {24}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET} {feats_Number=Sing}	202	84	5596	740	48978	inf
{3,5} {18} {5,24} {5}	[{3, 5}, {18}, {24, 5}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	206	92	6106	740	48978	inf
{24,27} {3} {17,18,730}	[{24, 27}, {3}, {17, 18, 730}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de}	268	157	10439	740	48978	inf
{3} {18} {5} {3}	[{3}, {18}, {5}, {3}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN}	246	151	10035	740	48978	inf
{24} {3} {17,18,730}	[{24}, {3}, {17, 18, 730}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de}	278	163	10788	740	48978	inf
{17,18} {23,24,25,27} {26}	[{17, 18}, {24, 25, 27, 23}, {26}]	{lemma_de,pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	246	154	10193	740	48978	inf
{17,18,728,730} {24,27} {4}	[{728, 17, 18, 730}, {24, 27}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_PronType=Art} {feats_Gender=Masc}	278	178	11787	740	48978	inf
{17,18} {23,24,25,27} {4}	[{17, 18}, {24, 25, 27, 23}, {4}]	{lemma_de,pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	278	178	11829	740	48978	inf
{17,18,730} {24,27} {4}	[{17, 18, 730}, {24, 27}, {4}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET,feats_PronType=Art} {feats_Gender=Masc}	278	178	11811	740	48978	inf
{26} {5} {5}	[{26}, {5}, {5}]	{feats_Gender=Fem} {feats_Number=Sing} {feats_Number=Sing}	188	57	3776	740	48978	inf
{24} {3} {5,11}	[{24}, {3}, {11, 5}]	{pos_DET} {pos_NOUN} {feats_Number=Sing,pos_ADJ}	204	95	6291	740	48978	inf
{18} {24} {3,92}	[{18}, {24}, {3, 92}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Number=Plur}	296	214	14180	740	48978	inf
{18} {5,24,25,27} {5,26}	[{18}, {24, 25, 27, 5}, {26, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	290	196	12976	740	48978	inf
{4} {18} {24} {3}	[{4}, {18}, {24}, {3}]	{feats_Gender=Masc} {pos_ADP} {pos_DET} {pos_NOUN}	208	105	6989	740	48978	inf
{17,18,730} {5,24} {4}	[{17, 18, 730}, {24, 5}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Gender=Masc}	230	75	4990	740	48978	inf
{3} {18} {5,24} {3,26}	[{3}, {18}, {24, 5}, {26, 3}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Fem}	186	61	4039	740	48978	inf
{3} {18} {5,24} {26}	[{3}, {18}, {24, 5}, {26}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Gender=Fem}	194	75	4997	740	48978	inf
{730} {5,23,24,25,27} {5}	[{730}, {5, 23, 24, 25, 27}, {5}]	{wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	336	245	16206	740	48978	inf
{26} {26} {18}	[{26}, {26}, {18}]	{feats_Gender=Fem} {feats_Gender=Fem} {pos_ADP}	190	106	7052	740	48978	inf
{18} {24,26} {26}	[{18}, {24, 26}, {26}]	{pos_ADP} {pos_DET,feats_Gender=Fem} {feats_Gender=Fem}	210	115	7637	740	48978	inf
{3,5} {18} {24} {5}	[{3, 5}, {18}, {24}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET} {feats_Number=Sing}	206	92	6108	740	48978	inf
