	motifs_int	motifs_str	k	M	f	t	T	indice
{17,18,730} {5} {4,5}	[{17, 18, 730}, {5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	225	110	6296	860	48978	inf
{3,5} {18} {5} {5}	[{3, 5}, {18}, {5}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	232	135	7705	860	48978	inf
{24} {3,5} {5,11}	[{24}, {3, 5}, {11, 5}]	{pos_DET} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing,pos_ADJ}	220	102	5831	860	48978	inf
{24,27} {5} {11}	[{24, 27}, {5}, {11}]	{pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADJ}	226	95	5457	860	48978	inf
{5} {18} {5,23,24,25,27} {5}	[{5}, {18}, {5, 23, 24, 25, 27}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	237	133	7619	860	48978	inf
{5} {3} {5,11}	[{5}, {3}, {11, 5}]	{feats_Number=Sing} {pos_NOUN} {feats_Number=Sing,pos_ADJ}	230	117	6686	860	48978	inf
{5} {5} {4}	[{5}, {5}, {4}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Gender=Masc}	236	128	7299	860	48978	inf
{5} {3} {105}	[{5}, {3}, {105}]	{feats_Number=Sing} {pos_NOUN} {pos_PUNCT}	240	123	7033	860	48978	inf
{24,27} {3} {5}	[{24, 27}, {3}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing}	270	143	8173	860	48978	inf
{5} {17,18,728,730} {5}	[{5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	221	130	7432	860	48978	inf
{23,24,25,27} {3} {11}	[{24, 25, 27, 23}, {3}, {11}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	236	124	7076	860	48978	inf
{17,18} {5,24,27} {4,5}	[{17, 18}, {24, 27, 5}, {4, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	225	111	6326	860	48978	inf
{17,18,728,730} {5} {4}	[{728, 17, 18, 730}, {5}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Gender=Masc}	226	114	6520	860	48978	inf
{5} {4} {5}	[{5}, {4}, {5}]	{feats_Number=Sing} {feats_Gender=Masc} {feats_Number=Sing}	231	136	7791	860	48978	inf
{18} {5,23,24,25,27,1271} {5}	[{18}, {5, 1271, 23, 24, 25, 27}, {5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {feats_Number=Sing}	215	119	6783	860	48978	inf
{18} {24} {5} {5}	[{18}, {24}, {5}, {5}]	{pos_ADP} {pos_DET} {feats_Number=Sing} {feats_Number=Sing}	227	106	6070	860	48978	inf
{5} {18} {24} {26}	[{5}, {18}, {24}, {26}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {feats_Gender=Fem}	221	134	7637	860	48978	inf
{5,23,24,25,27} {3} {5}	[{5, 23, 24, 25, 27}, {3}, {5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing}	229	100	5726	860	48978	inf
{5} {4} {105}	[{5}, {4}, {105}]	{feats_Number=Sing} {feats_Gender=Masc} {pos_PUNCT}	244	114	6489	860	48978	inf
{17,18} {24} {4,5}	[{17, 18}, {24}, {4, 5}]	{lemma_de,pos_ADP} {pos_DET} {feats_Gender=Masc,feats_Number=Sing}	234	116	6616	860	48978	inf
