	motifs_int	motifs_str	k	M	f	t	T	indice
{24} {3} {17,18}	[{24}, {3}, {17, 18}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	276	173	14978	566	48978	inf
{3,5} {18} {5} {3,5}	[{3, 5}, {18}, {5}, {3, 5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	180	57	4943	566	48978	inf
{17,18,730} {4,5,24} {5}	[{17, 18, 730}, {24, 4, 5}, {5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Number=Sing}	174	40	3480	566	48978	inf
{17,18,728,730} {4} {4,5}	[{728, 17, 18, 730}, {4}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc,feats_Number=Sing}	179	41	3568	566	48978	inf
{5} {18} {24} {3,5,26}	[{5}, {18}, {24}, {26, 3, 5}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	194	56	4859	566	48978	inf
{18} {24} {3} {730}	[{18}, {24}, {3}, {730}]	{pos_ADP} {pos_DET} {pos_NOUN} {wp_▁de}	170	49	4279	566	48978	inf
{18} {26} {3,5}	[{18}, {26}, {3, 5}]	{pos_ADP} {feats_Gender=Fem} {pos_NOUN,feats_Number=Sing}	191	74	6477	566	48978	inf
{5} {3} {18} {5}	[{5}, {3}, {18}, {5}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	226	89	7709	566	48978	inf
{18} {23,24,25,27} {3,5,26}	[{18}, {24, 25, 27, 23}, {26, 3, 5}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	229	136	11774	566	48978	inf
{17,18,730} {24} {3,26}	[{17, 18, 730}, {24}, {26, 3}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN,feats_Gender=Fem}	197	117	10128	566	48978	inf
{5} {18} {24} {5,26}	[{5}, {18}, {24}, {26, 5}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {feats_Number=Sing,feats_Gender=Fem}	207	71	6198	566	48978	inf
{4} {18} {24,27} {5}	[{4}, {18}, {24, 27}, {5}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	201	59	5146	566	48978	inf
{17,18} {4,24} {4}	[{17, 18}, {24, 4}, {4}]	{lemma_de,pos_ADP} {feats_Gender=Masc,pos_DET} {feats_Gender=Masc}	189	55	4832	566	48978	inf
{17,18} {4,5,24} {5}	[{17, 18}, {24, 4, 5}, {5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Number=Sing}	189	51	4434	566	48978	inf
{4} {18} {24} {5}	[{4}, {18}, {24}, {5}]	{feats_Gender=Masc} {pos_ADP} {pos_DET} {feats_Number=Sing}	215	69	6009	566	48978	inf
