	motifs_int	motifs_str	k	M	f	t	T	indice
{18} {23,24,25,27,92,881} {3}	[{18}, {881, 23, 24, 25, 27, 92}, {3}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,wp_▁les} {pos_NOUN}	389	200	10941	898	48978	inf
{17,18,730} {4} {4}	[{17, 18, 730}, {4}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc}	251	80	4394	898	48978	inf
{17,18} {24,92} {92}	[{17, 18}, {24, 92}, {92}]	{lemma_de,pos_ADP} {pos_DET,feats_Number=Plur} {feats_Number=Plur}	321	124	6802	898	48978	inf
{92} {3,92} {18} {5}	[{92}, {3, 92}, {18}, {5}]	{feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {pos_ADP} {feats_Number=Sing}	249	41	2287	898	48978	inf
{24} {3,26} {18} {5}	[{24}, {26, 3}, {18}, {5}]	{pos_DET} {pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	225	86	4723	898	48978	inf
{18} {24,27,92} {3,26}	[{18}, {24, 27, 92}, {26, 3}]	{pos_ADP} {pos_DET,feats_PronType=Art,feats_Number=Plur} {pos_NOUN,feats_Gender=Fem}	248	31	1730	898	48978	inf
{23,24,25,27} {3} {92}	[{24, 25, 27, 23}, {3}, {92}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {feats_Number=Plur}	248	54	2945	898	48978	inf
{4} {18} {3}	[{4}, {18}, {3}]	{feats_Gender=Masc} {pos_ADP} {pos_NOUN}	317	106	5816	898	48978	inf
{24} {3,4} {18}	[{24}, {3, 4}, {18}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	342	137	7509	898	48978	inf
{5} {17,18,728,730} {5}	[{5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	254	136	7432	898	48978	inf
{18} {5,24,26} {5}	[{18}, {24, 26, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {feats_Number=Sing}	297	139	7575	898	48978	inf
{3} {18} {5} {3,5}	[{3}, {18}, {5}, {3, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	323	183	10014	898	48978	inf
{5} {18} {5,26}	[{5}, {18}, {26, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	294	142	7739	898	48978	inf
{17,18} {23,24,25,27,92,880,881} {92}	[{17, 18}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{lemma_de,pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	303	85	4667	898	48978	inf
{3} {17,18,728,730} {5,26}	[{3}, {728, 17, 18, 730}, {26, 5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,feats_Gender=Fem}	234	77	4235	898	48978	inf
{24,27} {3} {730}	[{24, 27}, {3}, {730}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {wp_▁de}	342	191	10445	898	48978	inf
{24,27} {3} {18} {26}	[{24, 27}, {3}, {18}, {26}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	285	98	5377	898	48978	inf
{23,24,25,27} {3} {26}	[{24, 25, 27, 23}, {3}, {26}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {feats_Gender=Fem}	243	58	3167	898	48978	inf
