	motifs_int	motifs_str	k	M	f	t	T	indice
{17,18,728,730} {23,24,25,27} {4}	[{728, 17, 18, 730}, {24, 25, 27, 23}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	353	258	11784	1075	48978	inf
{5} {18} {5,24} {5}	[{5}, {18}, {24, 5}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	372	277	12610	1075	48978	inf
{730} {23,24,25,27} {3,26}	[{730}, {24, 25, 27, 23}, {26, 3}]	{wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	284	170	7761	1075	48978	inf
{3,5} {18} {24,27} {5}	[{3, 5}, {18}, {24, 27}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	286	115	5255	1075	48978	inf
{23,24,25,27} {26} {18}	[{24, 25, 27, 23}, {26}, {18}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem} {pos_ADP}	281	122	5570	1075	48978	inf
{5} {26} {18}	[{5}, {26}, {18}]	{feats_Number=Sing} {feats_Gender=Fem} {pos_ADP}	325	176	8017	1075	48978	inf
{3,5} {18} {24,27} {3}	[{3, 5}, {18}, {24, 27}, {3}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	280	118	5413	1075	48978	inf
{3} {18} {24,27} {26}	[{3}, {18}, {24, 27}, {26}]	{pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	269	128	5865	1075	48978	inf
{5} {3,5} {105}	[{5}, {3, 5}, {105}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_PUNCT}	283	152	6940	1075	48978	inf
{5} {4,5} {105}	[{5}, {4, 5}, {105}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {pos_PUNCT}	296	138	6305	1075	48978	inf
{18} {5,26} {3,5,26}	[{18}, {26, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,feats_Gender=Fem} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	280	141	6451	1075	48978	inf
{24} {3,26} {26}	[{24}, {26, 3}, {26}]	{pos_DET} {pos_NOUN,feats_Gender=Fem} {feats_Gender=Fem}	270	129	5907	1075	48978	inf
{26} {18} {5,24,27}	[{26}, {18}, {24, 27, 5}]	{feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	273	128	5839	1075	48978	inf
