	motifs_int	motifs_str	k	M	f	t	T	indice
{24} {3} {17,18}	[{24}, {3}, {17, 18}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	514	267	14978	875	48978	inf
{18} {5,24,27} {3,5} {17,18,730}	[{18}, {24, 27, 5}, {3, 5}, {17, 18, 730}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	225	18	1010	875	48978	inf
{5} {3} {18} {26}	[{5}, {3}, {18}, {26}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	236	60	3388	875	48978	inf
{5} {17,18,730} {24} {3}	[{5}, {17, 18, 730}, {24}, {3}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN}	235	37	2115	875	48978	inf
{5,24} {3} {18} {24}	[{24, 5}, {3}, {18}, {24}]	{feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP} {pos_DET}	281	56	3186	875	48978	inf
{5,24,27} {3} {17,18,730} {5}	[{24, 27, 5}, {3}, {17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	242	22	1240	875	48978	inf
{5,24,27} {5} {17,18,728,730} {5}	[{24, 27, 5}, {5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	246	22	1247	875	48978	inf
{3,5} {17,18,730} {24}	[{3, 5}, {17, 18, 730}, {24}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {pos_DET}	257	32	1825	875	48978	inf
{4} {17,18,728,730} {5} {5}	[{4}, {728, 17, 18, 730}, {5}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Number=Sing}	234	13	735	875	48978	inf
{5} {4,5} {17,18,728,730}	[{5}, {4, 5}, {728, 17, 18, 730}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	256	20	1168	875	48978	inf
{5,23,24,25,27} {3,4,5} {18}	[{5, 23, 24, 25, 27}, {3, 4, 5}, {18}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing} {pos_ADP}	249	26	1454	875	48978	inf
{5,24} {3,4} {17,18}	[{24, 5}, {3, 4}, {17, 18}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	244	24	1355	875	48978	inf
{24} {3} {17,18} {5,24,27} {5}	[{24}, {3}, {17, 18}, {24, 27, 5}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	236	18	1008	875	48978	inf
{24} {3} {17,18,730} {24}	[{24}, {3}, {17, 18, 730}, {24}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {pos_DET}	257	21	1222	875	48978	inf
{24} {3,4} {17,18,728,730} {5}	[{24}, {3, 4}, {728, 17, 18, 730}, {5}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	245	13	770	875	48978	inf
{18} {24,26} {3}	[{18}, {24, 26}, {3}]	{pos_ADP} {pos_DET,feats_Gender=Fem} {pos_NOUN}	328	114	6397	875	48978	inf
{18} {5} {5} {17,18,730}	[{18}, {5}, {5}, {17, 18, 730}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	241	30	1706	875	48978	inf
{18} {24,27} {3} {17,18,730} {5}	[{18}, {24, 27}, {3}, {17, 18, 730}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	238	21	1192	875	48978	inf
