	motifs_int	motifs_str	k	M	f	t	T	indice
{18} {4,5,23,24,25,27,43,44} {5}	[{18}, {4, 5, 43, 44, 23, 24, 25, 27}, {5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le} {feats_Number=Sing}	317	164	6565	1223	48978	inf
{5} {18} {24,27} {5}	[{5}, {18}, {24, 27}, {5}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	376	279	11197	1223	48978	inf
{5} {18} {24} {3,26}	[{5}, {18}, {24}, {26, 3}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	333	170	6814	1223	48978	inf
{5} {5} {18} {24} {3}	[{5}, {5}, {18}, {24}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN}	328	163	6541	1223	48978	inf
{18} {5} {5} {5}	[{18}, {5}, {5}, {5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing}	324	186	7461	1223	48978	inf
{4} {18} {5,24} {5}	[{4}, {18}, {24, 5}, {5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	326	150	6006	1223	48978	inf
{3} {17,18} {5} {5}	[{3}, {17, 18}, {5}, {5}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	321	175	7006	1223	48978	inf
{5} {3,5} {17,18,730}	[{5}, {3, 5}, {17, 18, 730}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	307	160	6419	1223	48978	inf
{5} {18} {3}	[{5}, {18}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_NOUN}	353	187	7486	1223	48978	inf
{17,18} {5,24,27} {4,5}	[{17, 18}, {24, 27, 5}, {4, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	313	158	6326	1223	48978	inf
