	motifs_int	motifs_str	k	M	f	t	T	indice
{3} {17,18,728,730} {26}	[{3}, {728, 17, 18, 730}, {26}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Fem}	286	98	5407	894	48978	inf
{5,26} {3,5,26} {18}	[{26, 5}, {26, 3, 5}, {18}]	{feats_Number=Sing,feats_Gender=Fem} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {pos_ADP}	233	34	1899	894	48978	inf
{5} {5} {18} {3}	[{5}, {5}, {18}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_NOUN}	263	90	4942	894	48978	inf
{24} {3,4} {4}	[{24}, {3, 4}, {4}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {feats_Gender=Masc}	285	87	4801	894	48978	inf
{18} {24,27} {3,5} {5}	[{18}, {24, 27}, {3, 5}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	239	58	3185	894	48978	inf
{24} {3} {26}	[{24}, {3}, {26}]	{pos_DET} {pos_NOUN} {feats_Gender=Fem}	342	124	6825	894	48978	inf
{24,27} {3} {18} {23,24,25,27}	[{24, 27}, {3}, {18}, {24, 25, 27, 23}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	225	41	2293	894	48978	inf
{92} {3,92} {18} {5}	[{92}, {3, 92}, {18}, {5}]	{feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {pos_ADP} {feats_Number=Sing}	246	41	2287	894	48978	inf
{730} {92} {3}	[{730}, {92}, {3}]	{wp_▁de} {feats_Number=Plur} {pos_NOUN}	318	122	6720	894	48978	inf
{18,692} {23,24,25,27} {3,5}	[{18, 692}, {24, 25, 27, 23}, {3, 5}]	{pos_ADP,lemma_à} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	230	29	1634	894	48978	inf
{23,24,25,27} {3} {18} {5,24}	[{24, 25, 27, 23}, {3}, {18}, {24, 5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET}	247	54	3004	894	48978	inf
{5,24,27} {5} {5,11}	[{24, 27, 5}, {5}, {11, 5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {feats_Number=Sing,pos_ADJ}	275	98	5385	894	48978	inf
{873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {92}	[{873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	276	85	4665	894	48978	inf
{18} {24,27,92} {3,26}	[{18}, {24, 27, 92}, {26, 3}]	{pos_ADP} {pos_DET,feats_PronType=Art,feats_Number=Plur} {pos_NOUN,feats_Gender=Fem}	243	31	1730	894	48978	inf
{18} {5,24,26} {5}	[{18}, {24, 26, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {feats_Number=Sing}	358	138	7575	894	48978	inf
{3} {17,18,730} {5}	[{3}, {17, 18, 730}, {5}]	{pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	393	258	14135	894	48978	inf
{23,24,25,27} {3} {92}	[{24, 25, 27, 23}, {3}, {92}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {feats_Number=Plur}	260	53	2945	894	48978	inf
{3} {17,18,728,730} {5,26}	[{3}, {728, 17, 18, 730}, {26, 5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,feats_Gender=Fem}	252	77	4235	894	48978	inf
{17,18} {4,5,24} {3,4}	[{17, 18}, {24, 4, 5}, {3, 4}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc}	245	42	2300	894	48978	inf
{5,23,24,25,27} {3} {18} {24}	[{5, 23, 24, 25, 27}, {3}, {18}, {24}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET}	237	44	2428	894	48978	inf
{18} {24,27} {3,4,92}	[{18}, {24, 27}, {3, 4, 92}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Plur}	272	61	3364	894	48978	inf
