	motifs_int	motifs_str	k	M	f	t	T	indice
{18} {5,24,27} {3} {18} {5}	[{18}, {24, 27, 5}, {3}, {18}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	199	26	1736	748	48978	inf
{18} {5,24,27} {3,4,5}	[{18}, {24, 27, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	334	196	12857	748	48978	inf
{92} {3} {17,18}	[{92}, {3}, {17, 18}]	{feats_Number=Plur} {pos_NOUN} {lemma_de,pos_ADP}	187	23	1540	748	48978	inf
{5} {18} {5} {26}	[{5}, {18}, {5}, {26}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Gender=Fem}	283	104	6864	748	48978	inf
{18} {5,26} {3,26}	[{18}, {26, 5}, {26, 3}]	{pos_ADP} {feats_Number=Sing,feats_Gender=Fem} {pos_NOUN,feats_Gender=Fem}	277	98	6460	748	48978	inf
{17,18,730} {5} {3,5}	[{17, 18, 730}, {5}, {3, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	321	211	13810	748	48978	inf
{3,4} {17,18} {3}	[{3, 4}, {17, 18}, {3}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP} {pos_NOUN}	201	36	2374	748	48978	inf
{3} {18} {5,23,24,25,27} {5}	[{3}, {18}, {5, 23, 24, 25, 27}, {5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	281	109	7148	748	48978	inf
{17,18,728,730,878} {23,24,25,27} {4}	[{878, 17, 18, 728, 730}, {24, 25, 27, 23}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	216	132	8651	748	48978	inf
{17,18} {4,5} {4}	[{17, 18}, {4, 5}, {4}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	191	84	5516	748	48978	inf
