	motifs_int	motifs_str	k	M	f	t	T	indice
{24,27} {3,26} {730}	[{24, 27}, {26, 3}, {730}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {wp_▁de}	90	15	2358	321	48978	inf
{23,24,25,27} {3} {105}	[{24, 25, 27, 23}, {3}, {105}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_PUNCT}	107	37	5731	321	48978	inf
{5} {4} {18} {5}	[{5}, {4}, {18}, {5}]	{feats_Number=Sing} {feats_Gender=Masc} {pos_ADP} {feats_Number=Sing}	80	27	4189	321	48978	inf
{3} {18} {5,24} {5,26}	[{3}, {18}, {24, 5}, {26, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem}	80	32	4996	321	48978	inf
{23,24,25,27} {3} {5}	[{24, 25, 27, 23}, {3}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing}	102	40	6228	321	48978	inf
{5} {3,4,5} {5}	[{5}, {3, 4, 5}, {5}]	{feats_Number=Sing} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing}	82	19	2947	321	48978	inf
{18} {24,27} {3} {11}	[{18}, {24, 27}, {3}, {11}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	90	34	5224	321	48978	inf
{5} {3,5,26} {5}	[{5}, {26, 3, 5}, {5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing}	87	21	3279	321	48978	inf
{17,18,730} {4} {4}	[{17, 18, 730}, {4}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc}	86	28	4394	321	48978	inf
{17,18,728,730} {5,24} {4,5}	[{728, 17, 18, 730}, {24, 5}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	96	31	4755	321	48978	inf
{5,24,27} {5} {18} {24}	[{24, 27, 5}, {5}, {18}, {24}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADP} {pos_DET}	83	19	3014	321	48978	inf
{5,26} {18} {24} {5}	[{26, 5}, {18}, {24}, {5}]	{feats_Number=Sing,feats_Gender=Fem} {pos_ADP} {pos_DET} {feats_Number=Sing}	82	21	3256	321	48978	inf
{5} {18} {5,23,24,25,27} {3,5}	[{5}, {18}, {5, 23, 24, 25, 27}, {3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	91	40	6206	321	48978	inf
{5} {5} {18} {24,27} {3}	[{5}, {5}, {18}, {24, 27}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	85	31	4717	321	48978	inf
{3} {17,18} {5,24} {5}	[{3}, {17, 18}, {24, 5}, {5}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	87	33	5099	321	48978	inf
{3,5} {18} {5,24,27} {3,5}	[{3, 5}, {18}, {24, 27, 5}, {3, 5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	80	24	3669	321	48978	inf
{24,27} {3,26} {11}	[{24, 27}, {26, 3}, {11}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {pos_ADJ}	81	30	4566	321	48978	inf
{26} {18} {24}	[{26}, {18}, {24}]	{feats_Gender=Fem} {pos_ADP} {pos_DET}	122	60	9223	321	48978	inf
{26} {26} {5}	[{26}, {26}, {5}]	{feats_Gender=Fem} {feats_Gender=Fem} {feats_Number=Sing}	83	15	2427	321	48978	inf
{92} {92} {18} {5}	[{92}, {92}, {18}, {5}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADP} {feats_Number=Sing}	81	37	5773	321	48978	inf
{5} {18} {5,23,24,25,27}	[{5}, {18}, {5, 23, 24, 25, 27}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	98	50	7667	321	48978	inf
{5} {3,5} {17,18}	[{5}, {3, 5}, {17, 18}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP}	129	66	10099	321	48978	inf
{5} {18} {92}	[{5}, {18}, {92}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Plur}	81	31	4751	321	48978	inf
{5,24} {5} {26}	[{24, 5}, {5}, {26}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {feats_Gender=Fem}	91	21	3248	321	48978	inf
{17,18,728,730} {4,5} {4,5}	[{728, 17, 18, 730}, {4, 5}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	81	23	3566	321	48978	inf
{82196} {5} {5}	[{82196}, {5}, {5}]	{wp_’} {feats_Number=Sing} {feats_Number=Sing}	80	11	1744	321	48978	inf
{18,692} {24} {3}	[{18, 692}, {24}, {3}]	{pos_ADP,lemma_à} {pos_DET} {pos_NOUN}	86	27	4187	321	48978	inf
{23,24,25,27} {26} {17,18}	[{24, 25, 27, 23}, {26}, {17, 18}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem} {lemma_de,pos_ADP}	101	19	2937	321	48978	inf
{5} {17,18} {24}	[{5}, {17, 18}, {24}]	{feats_Number=Sing} {lemma_de,pos_ADP} {pos_DET}	96	34	5227	321	48978	inf
