	motifs_int	motifs_str	k	M	f	t	T	indice
{24,27} {3,26} {730}	[{24, 27}, {26, 3}, {730}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {wp_▁de}	149	27	2358	567	48978	inf
{5} {3,5} {18} {5,24} {5}	[{5}, {3, 5}, {18}, {24, 5}, {5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	163	31	2678	567	48978	inf
{3} {18} {24,27} {26}	[{3}, {18}, {24, 27}, {26}]	{pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	191	68	5865	567	48978	inf
{24,27} {3} {17,18}	[{24, 27}, {3}, {17, 18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP}	268	158	13677	567	48978	inf
{5} {3} {18}	[{5}, {3}, {18}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP}	291	162	14003	567	48978	inf
{5,24} {4,5} {4,5}	[{24, 5}, {4, 5}, {4, 5}]	{feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	193	23	2030	567	48978	inf
{24} {3,4} {17,18}	[{24}, {3, 4}, {17, 18}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	172	57	4967	567	48978	inf
{18} {24,27} {4} {4}	[{18}, {24, 27}, {4}, {4}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Masc} {feats_Gender=Masc}	171	26	2269	567	48978	inf
{5} {5} {17,18}	[{5}, {5}, {17, 18}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP}	271	153	13228	567	48978	inf
{18} {5,24} {5} {105}	[{18}, {24, 5}, {5}, {105}]	{pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing} {pos_PUNCT}	172	48	4202	567	48978	inf
{18} {5} {3} {5}	[{18}, {5}, {3}, {5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN} {feats_Number=Sing}	172	40	3474	567	48978	inf
{5} {5} {5,26}	[{5}, {5}, {26, 5}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	227	71	6162	567	48978	inf
{5,24,27} {5,26} {5}	[{24, 27, 5}, {26, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing}	172	37	3258	567	48978	inf
{3,5} {18} {5,23,24,25,27} {5}	[{3, 5}, {18}, {5, 23, 24, 25, 27}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	172	41	3566	567	48978	inf
{18} {4,5,23,24,25,27,43,44} {4,5}	[{18}, {4, 5, 43, 44, 23, 24, 25, 27}, {4, 5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le} {feats_Gender=Masc,feats_Number=Sing}	227	75	6532	567	48978	inf
{4} {5} {4}	[{4}, {5}, {4}]	{feats_Gender=Masc} {feats_Number=Sing} {feats_Gender=Masc}	213	48	4218	567	48978	inf
{3} {17,18,728,730} {5,24} {5}	[{3}, {728, 17, 18, 730}, {24, 5}, {5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	172	42	3646	567	48978	inf
{5,24} {3,5} {18} {5}	[{24, 5}, {3, 5}, {18}, {5}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	214	75	6542	567	48978	inf
{18} {23,24,25,27} {3} {18}	[{18}, {24, 25, 27, 23}, {3}, {18}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP}	214	110	9497	567	48978	inf
{24,27} {3} {5}	[{24, 27}, {3}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing}	234	94	8173	567	48978	inf
{5} {18} {23,24,25,27}	[{5}, {18}, {24, 25, 27, 23}]	{feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	256	138	11985	567	48978	inf
{5} {4,5} {105}	[{5}, {4, 5}, {105}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {pos_PUNCT}	190	73	6305	567	48978	inf
{18} {5,24,27} {3,4,5}	[{18}, {24, 27, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	254	149	12857	567	48978	inf
{5} {18} {24} {3}	[{5}, {18}, {24}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN}	279	154	13337	567	48978	inf
{18,692} {24,27} {5}	[{18, 692}, {24, 27}, {5}]	{pos_ADP,lemma_à} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	169	38	3302	567	48978	inf
{5} {18} {24} {5}	[{5}, {18}, {24}, {5}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {feats_Number=Sing}	266	146	12615	567	48978	inf
{5,24,27} {5} {18} {5,24} {5}	[{24, 27, 5}, {5}, {18}, {24, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	146	15	1333	567	48978	inf
{17,18,728,730} {5,23,24,25,27} {3,5,26}	[{728, 17, 18, 730}, {5, 23, 24, 25, 27}, {26, 3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	146	34	3008	567	48978	inf
