	motifs_int	motifs_str	Rapports18_k	Rapports18_M	Rapports18_f	Rapports18_t	Rapports18_T	Rapports18_indice	CrUpn09to18_k	CrUpn09to18_M	CrUpn09to18_f	CrUpn09to18_t	CrUpn09to18_T	CrUpn09to18_indice
{59,81} {3,4}	[{81, 59}, {3, 4}]	{feats_Number=Plur,pos_DET} {pos_NOUN,feats_Gender=Fem}	14013.0	2938.0	14013	48774	232592	inf			14013	183818	232592	
{4,5,80,81,82,83} {5}	[{4, 5, 80, 81, 82, 83}, {5}]	{feats_Gender=Fem,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	14800.0	3103.0	14800	48774	232592	inf			14800	183818	232592	
{4,5,81,82,83} {4}	[{4, 5, 81, 82, 83}, {4}]	{feats_Gender=Fem,feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	14800.0	3103.0	14800	48774	232592	inf			14800	183818	232592	
{52} {81} {3,5}	[{52}, {81}, {3, 5}]	{wp_▁de} {pos_DET} {pos_NOUN,feats_Number=Sing}	15569.0	3265.0	15569	48774	232592	inf			15569	183818	232592	
{20} {81,82,83} {3,4,5}	[{20}, {81, 82, 83}, {3, 4, 5}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem,feats_Number=Sing}	15032.0	3152.0	15032	48774	232592	inf			15032	183818	232592	
{85}	[{85}]	{wp_▁l}	15032.0	3152.0	15032	48774	232592	inf			15032	183818	232592	
{120} {3,5}	[{120}, {3, 5}]	{feats_Gender=Masc} {pos_NOUN,feats_Number=Sing}	20173.0	14939.0	71241	48774	232592	10.066600216294782	51068.0	56302.0	71241	183818	232592	-inf
{2604}	[{2604}]	{feats_Tense=Pres}	20119.0	19999.0	95370	48774	232592	0.9755027362026542	75251.0	75371.0	95370	183818	232592	-0.9677532160828208
{120} {5} {20}	[{120}, {5}, {20}]	{feats_Gender=Masc} {feats_Number=Sing} {pos_ADP}	12914.0	2708.0	12914	48774	232592	inf			12914	183818	232592	
{4} {75}	[{4}, {75}]	{feats_Gender=Fem} {pos_ADJ}	17376.0	3643.0	17376	48774	232592	inf			17376	183818	232592	
{1127}	[{1127}]	{feats_VerbForm=Part}	16793.0	3521.0	16793	48774	232592	inf			16793	183818	232592	
{19,20,52} {5,80,81,82,83}	[{19, 20, 52}, {5, 80, 81, 82, 83}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	17562.0	3682.0	17562	48774	232592	inf			17562	183818	232592	
{2601}	[{2601}]	{pos_AUX}	12924.0	12642.0	60287	48774	232592	3.281660433381432	47363.0	47645.0	60287	183818	232592	-3.263866761860629
{120}	[{120}]	{feats_Gender=Masc}	35828.0	35031.0	167055	48774	232592	9.675098039088134	131227.0	132024.0	167055	183818	232592	-19.175780319508544
{19,20,52} {4}	[{19, 20, 52}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Fem}	14296.0	2998.0	14296	48774	232592	inf			14296	183818	232592	
{81} {120} {120}	[{81}, {120}, {120}]	{pos_DET} {feats_Gender=Masc} {feats_Gender=Masc}	12877.0	2700.0	12877	48774	232592	inf			12877	183818	232592	
{59,81}	[{81, 59}]	{feats_Number=Plur,pos_DET}	22144.0	15874.0	75702	48774	232592	inf	53558.0	59828.0	75702	183818	232592	-inf
{5,24,80,81,82,83,85} {5}	[{5, 80, 81, 82, 83, 85, 24}, {5}]	{feats_Number=Sing,wp_’,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {feats_Number=Sing}	12916.0	2708.0	12916	48774	232592	inf			12916	183818	232592	
{5,80,81,82,83} {3} {20}	[{5, 80, 81, 82, 83}, {3}, {20}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP}	13555.0	2842.0	13555	48774	232592	inf			13555	183818	232592	
{80,81,82,83} {3,5} {20}	[{80, 81, 82, 83}, {3, 5}, {20}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP}	13555.0	2842.0	13555	48774	232592	inf			13555	183818	232592	
{120} {19,20} {5}	[{120}, {19, 20}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing}	13555.0	2842.0	13555	48774	232592	inf			13555	183818	232592	
{81,82,83} {3,4}	[{81, 82, 83}, {3, 4}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	22783.0	15497.0	73904	48774	232592	10.593177384267973	51121.0	58407.0	73904	183818	232592	-inf
{19,50,52} {4,5}	[{50, 19, 52}, {4, 5}]	{lemma_de,feats_de,wp_▁de} {feats_Gender=Fem,feats_Number=Sing}	12786.0	2681.0	12786	48774	232592	inf			12786	183818	232592	
{120} {75,120}	[{120}, {120, 75}]	{feats_Gender=Masc} {pos_ADJ,feats_Gender=Masc}	14849.0	3114.0	14849	48774	232592	inf			14849	183818	232592	
{19,20} {3,4}	[{19, 20}, {3, 4}]	{lemma_de,pos_ADP} {pos_NOUN,feats_Gender=Fem}	12542.0	2630.0	12542	48774	232592	inf			12542	183818	232592	
{59,120}	[{120, 59}]	{feats_Number=Plur,feats_Gender=Masc}	22240.0	14678.0	69995	48774	232592	inf	47755.0	55317.0	69995	183818	232592	-inf
{5,120} {20} {5}	[{120, 5}, {20}, {5}]	{feats_Number=Sing,feats_Gender=Masc} {pos_ADP} {feats_Number=Sing}	13012.0	2728.0	13012	48774	232592	inf			13012	183818	232592	
{1121}	[{1121}]	{wp_▁(}	12859.0	2696.0	12859	48774	232592	inf			12859	183818	232592	
{1076}	[{1076}]	{lemma_un}	14402.0	3020.0	14402	48774	232592	inf			14402	183818	232592	
{20} {81,82,83} {3}	[{20}, {81, 82, 83}, {3}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	25203.0	17184.0	81948	48774	232592	9.617786139257747	56745.0	64764.0	81948	183818	232592	-inf
{19,20,50,52} {3}	[{50, 19, 20, 52}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_NOUN}	13284.0	2785.0	13284	48774	232592	inf			13284	183818	232592	
{4,5,81,82,83} {4,5}	[{4, 5, 81, 82, 83}, {4, 5}]	{feats_Gender=Fem,feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem,feats_Number=Sing}	14799.0	3103.0	14799	48774	232592	inf			14799	183818	232592	
{120} {59}	[{120}, {59}]	{feats_Gender=Masc} {feats_Number=Plur}	15245.0	3197.0	15245	48774	232592	inf			15245	183818	232592	
{120} {3,5,120}	[{120}, {120, 3, 5}]	{feats_Gender=Masc} {pos_NOUN,feats_Number=Sing,feats_Gender=Masc}	19962.0	14807.0	70613	48774	232592	inf	50651.0	55806.0	70613	183818	232592	-inf
{120,916} {120}	[{120, 916}, {120}]	{feats_Gender=Masc,wp_▁le} {feats_Gender=Masc}	16823.0	3527.0	16823	48774	232592	inf			16823	183818	232592	
{80,81,82,83} {3} {20} {5}	[{80, 81, 82, 83}, {3}, {20}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	13747.0	2882.0	13747	48774	232592	inf			13747	183818	232592	
{5,24,85} {5}	[{24, 85, 5}, {5}]	{feats_Number=Sing,wp_’,wp_▁l} {feats_Number=Sing}	12978.0	2721.0	12978	48774	232592	inf			12978	183818	232592	
{81} {4} {20}	[{81}, {4}, {20}]	{pos_DET} {feats_Gender=Fem} {pos_ADP}	13322.0	2793.0	13322	48774	232592	inf			13322	183818	232592	
{19,20,50,52} {80,81,82,83} {3}	[{50, 19, 20, 52}, {80, 81, 82, 83}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	19474.0	4083.0	19474	48774	232592	inf			19474	183818	232592	
{120} {120}	[{120}, {120}]	{feats_Gender=Masc} {feats_Gender=Masc}	26252.0	19256.0	91830	48774	232592	10.35919496907068	65578.0	72574.0	91830	183818	232592	-inf
{120} {75}	[{120}, {75}]	{feats_Gender=Masc} {pos_ADJ}	15251.0	3198.0	15251	48774	232592	inf			15251	183818	232592	
{120} {5}	[{120}, {5}]	{feats_Gender=Masc} {feats_Number=Sing}	24571.0	19604.0	93487	48774	232592	inf	68916.0	73883.0	93487	183818	232592	-inf
{20} {5,80,81,82,83,120,915,916} {5,120}	[{20}, {5, 80, 81, 82, 83, 915, 916, 120}, {120, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Gender=Masc,dep_le,wp_▁le} {feats_Number=Sing,feats_Gender=Masc}	12227.0	2564.0	12227	48774	232592	inf			12227	183818	232592	
{5} {19,20,52} {5}	[{5}, {19, 20, 52}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	13036.0	2733.0	13036	48774	232592	inf			13036	183818	232592	
{5,80,81,82,83} {3,5}	[{5, 80, 81, 82, 83}, {3, 5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	25380.0	18970.0	90463	48774	232592	inf	65083.0	71493.0	90463	183818	232592	-inf
{120} {52}	[{120}, {52}]	{feats_Gender=Masc} {wp_▁de}	14417.0	3023.0	14417	48774	232592	inf			14417	183818	232592	
{81,120} {3}	[{120, 81}, {3}]	{pos_DET,feats_Gender=Masc} {pos_NOUN}	18696.0	14009.0	66804	48774	232592	10.195063188591687	48108.0	52795.0	66804	183818	232592	-inf
{4,5,81,83} {3,4}	[{81, 83, 4, 5}, {3, 4}]	{feats_Gender=Fem,feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	16170.0	3391.0	16170	48774	232592	inf			16170	183818	232592	
{52} {80,81,82,83} {5}	[{52}, {80, 81, 82, 83}, {5}]	{wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	17337.0	3635.0	17337	48774	232592	inf			17337	183818	232592	
{52} {81} {3}	[{52}, {81}, {3}]	{wp_▁de} {pos_DET} {pos_NOUN}	20449.0	4288.0	20449	48774	232592	inf			20449	183818	232592	
{20} {5,81,82,83,120} {3}	[{20}, {5, 81, 82, 83, 120}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Gender=Masc} {pos_NOUN}	12734.0	2670.0	12734	48774	232592	inf			12734	183818	232592	
{64,65}	[{64, 65}]	{lemma_et,pos_CCONJ}	18551.0	3890.0	18551	48774	232592	inf			18551	183818	232592	
{5} {120}	[{5}, {120}]	{feats_Number=Sing} {feats_Gender=Masc}	25451.0	20042.0	95578	48774	232592	9.97074481245323	70127.0	75536.0	95578	183818	232592	-inf
{3,5} {20} {5} {5}	[{3, 5}, {20}, {5}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	13107.0	2748.0	13107	48774	232592	inf			13107	183818	232592	
{120} {20} {4}	[{120}, {20}, {4}]	{feats_Gender=Masc} {pos_ADP} {feats_Gender=Fem}	12833.0	2691.0	12833	48774	232592	inf			12833	183818	232592	
{19,20,52}	[{19, 20, 52}]	{lemma_de,pos_ADP,wp_▁de}	27936.0	19955.0	95162	48774	232592	9.55630767223271	67226.0	75207.0	95162	183818	232592	-inf
{52} {5,81,83}	[{52}, {81, 83, 5}]	{wp_▁de} {feats_Number=Sing,pos_DET,feats_PronType=Art}	17568.0	3684.0	17568	48774	232592	inf			17568	183818	232592	
{59,80,81,82,83,266}	[{266, 80, 81, 82, 83, 59}]	{feats_Number=Plur,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁les}	17568.0	3684.0	17568	48774	232592	inf			17568	183818	232592	
{20} {5,81,120} {3}	[{20}, {120, 81, 5}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Masc} {pos_NOUN}	14482.0	3037.0	14482	48774	232592	inf			14482	183818	232592	
{81,82,83} {120}	[{81, 82, 83}, {120}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	23960.0	17616.0	84009	48774	232592	10.613481831199204	60049.0	66393.0	84009	183818	232592	-inf
{64,65,66,68}	[{64, 65, 66, 68}]	{lemma_et,pos_CCONJ,feats_et,wp_▁et}	18500.0	3879.0	18500	48774	232592	inf			18500	183818	232592	
{20} {5,85}	[{20}, {85, 5}]	{pos_ADP} {feats_Number=Sing,wp_▁l}	12328.0	2585.0	12328	48774	232592	inf			12328	183818	232592	
{4,5,81,83} {3,4,5}	[{81, 83, 4, 5}, {3, 4, 5}]	{feats_Gender=Fem,feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem,feats_Number=Sing}	16166.0	3390.0	16166	48774	232592	inf			16166	183818	232592	
{52} {81,83} {3,4}	[{52}, {81, 83}, {3, 4}]	{wp_▁de} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	13054.0	2737.0	13054	48774	232592	inf			13054	183818	232592	
{5,120,916} {3,5}	[{120, 916, 5}, {3, 5}]	{feats_Number=Sing,feats_Gender=Masc,wp_▁le} {pos_NOUN,feats_Number=Sing}	14597.0	3061.0	14597	48774	232592	inf			14597	183818	232592	
{5,80,81,82,83} {3,4,5}	[{5, 80, 81, 82, 83}, {3, 4, 5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem,feats_Number=Sing}	19226.0	4031.0	19226	48774	232592	inf			19226	183818	232592	
