	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO
{24} {3} {17,18}	[{24}, {3}, {17, 18}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	-12.24832962892225	inf	10.712368963579168	7.299187981051136	-170.2652810706743	3.4989594936076553	0.8580812504392841	0.5056646728631169	-inf	10.49005253346257	inf	inf	inf	6.625610883557473	inf	inf	inf	3.4053491521517683	12.455728081198119	-0.7465037045988234	10.539200700770452	-3.0670429464470566	-inf	10.664263499979189	inf	11.138945621059039	0.5526420207945432	inf	-234.39106983615102	inf	inf	6.573345207407502	11.102451490883396	10.53639457903227	0.9071813743919828	11.880578324182059	inf	9.434917284301985
{18} {24,27,92} {92}	[{18}, {24, 27, 92}, {92}]	{pos_ADP} {pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur}	0.9060272904481812	inf	inf	inf	-159.86108741841414	0.5540537491864593	-1.1241568969099034	-0.44049575676826425	-inf	inf	inf	inf	inf	0.8388542117461807	inf	9.890859834136167	inf	2.765972871772231	inf	0.4352855871931275	4.596625843085642	7.0668768810215505	-inf	inf	inf	inf	-0.5537224554403657	4.187520006896602	-220.05523318666474	inf	inf	5.067509343566452	10.226629060444692	inf	-1.0720758331144813	inf	inf	3.8866371338057464
{24,27} {3} {11}	[{24, 27}, {3}, {11}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	-0.9977781091033244	inf	inf	8.48560368440223	-154.91213548629406	6.437986087211667	2.9471553600138107	-1.170660787166107	-inf	inf	inf	inf	inf	1.042482547788674	inf	inf	5.670455293629522	4.9100444868739395	5.766849824954547	0.7251983020224325	9.034255246491032	2.3911047009723116	-inf	inf	inf	inf	-34.723250614541776	6.866941157158258	-213.2367946870933	inf	6.732167441740532	inf	inf	inf	3.0464832111913625	inf	inf	4.218808062852145
{24,27} {3} {18}	[{24, 27}, {3}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	-19.06980779831046	inf	10.489261952694571	6.179679094813877	-214.55772549074507	2.0548496123091877	0.49329554823276117	-5.752627779268792	-inf	10.40119590349249	inf	inf	inf	3.839504285376765	inf	inf	inf	2.135030312167035	9.449479830239195	-3.335374119634853	9.571459586349853	-5.479710040420363	-29.1052106038085	10.450056384666311	inf	11.134559171187382	-0.5226288451822281	inf	-295.44367714432246	inf	inf	3.6241347745918953	10.709652429960634	10.493227826036486	0.5327466448622202	inf	inf	7.160682735146706
{3} {17,18,728,730} {5}	[{3}, {728, 17, 18, 730}, {5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	-3.751277713839434	9.542952894785325	10.671759282206802	7.8158624291443	-158.7865261590053	10.306898794993652	0.437062725267114	1.2553345982203787	-inf	9.332871893241096	inf	inf	inf	inf	inf	inf	inf	1.9114412649297718	8.102553660751473	-0.43634019445188177	10.686046898957336	0.3526946205712387	-inf	10.622310917572815	inf	11.285021871154045	0.9202745303519944	inf	-218.5747154643241	inf	inf	4.601461447465596	10.931691476971219	10.605450228436549	0.40006853215297555	inf	inf	1.1404116317324249
{18} {5,24} {3,4,5}	[{18}, {24, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-5.087989804550248	inf	10.892587231655074	3.193400206588854	-162.43679201384737	5.637714424876054	3.583185177839263	-0.4921530747288545	-inf	11.088663015633966	inf	inf	inf	2.3759675851572846	inf	inf	inf	inf	6.170492158137084	-1.264938168553744	9.333546602410031	-0.46392703646857414	-inf	10.802956419618381	inf	inf	-36.40670859116806	inf	-223.6040914882953	inf	3.780045996493483	6.805239860959444	inf	11.015075509491671	3.697930100554579	inf	inf	inf
{18} {4,5} {4}	[{18}, {4, 5}, {4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	-2.3982636609628654	inf	10.29528600534399	2.6831561056057023	-173.1352737853857	8.802580503785052	0.9247917238463719	-4.568928431340043	-inf	10.340274814579704	inf	10.831365533628809	inf	4.678071954968618	10.677115792636904	inf	10.990806663463298	6.52773041250853	9.025875483798877	-1.2440711601999017	10.373908797480974	1.1762759109017114	-inf	10.276397462007301	inf	10.37715656959423	-1.6169060209381565	inf	-238.34594729015828	inf	8.66553976179166	inf	10.386611119489807	10.377185297600263	0.9768256552431703	10.848364865294204	inf	8.031723492862975
{18} {5} {5,26}	[{18}, {5}, {26, 5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	-26.885203430466824	inf	6.071351122805861	3.8940694384635473	-218.77197031538603	3.5960793222570318	-0.3914647207284422	-9.98838371878	-54.92850753483182	10.494930454267111	inf	11.503832742053934	inf	2.5042179022213746	11.18516813061226	inf	inf	0.5258227999829185	4.64979290337939	-7.968073461849238	10.431161989582735	-9.836433385902804	-44.709685950019036	10.429931462714109	inf	10.75870394903647	-0.546434050635859	10.317792060594098	-301.25456572310196	inf	6.800401630349284	4.6567815057597075	10.412522842858888	10.455085514550259	-0.35942708130533035	10.822987143600402	inf	6.6626973752644805
{18} {24} {3,26}	[{18}, {24}, {26, 3}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	-20.2863463865044	inf	7.862802647454215	8.517591774947588	-254.76055394629788	1.0792982509394868	-1.1043329134970934	-14.783135116809643	-82.07839210653935	inf	inf	inf	inf	0.6997037571805668	inf	inf	inf	-0.5887549023620421	4.818271066387015	-13.474737204116352	inf	-5.049782318536675	-48.75064098347977	inf	inf	inf	-1.2890709366314899	10.3838752478404	-37.417317042612716	inf	6.2679977014881745	4.173211570344859	inf	inf	-1.0360361137361744	inf	inf	3.0246985494645378
{3} {18} {24}	[{3}, {18}, {24}]	{pos_NOUN} {pos_ADP} {pos_DET}	-12.48845913507631	inf	10.791523855041142	4.417557083535443	-183.64913741146745	1.4720507658338327	1.0094480400197503	-3.6829625940139503	-inf	10.75143172861645	inf	inf	inf	1.2386291657056208	inf	inf	inf	5.387557767055616	3.1179638878564058	-2.6670701218811197	11.1007942484252	-2.9069659386235442	-17.440894484955084	10.740363376806702	inf	inf	-0.5058473281228293	inf	-252.83544023604253	inf	2.798667594602941	4.948444405805415	inf	11.025416162398072	1.066477778751926	inf	inf	5.122767364696625
{5} {5} {18}	[{5}, {5}, {18}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP}	-31.748483708139016	inf	9.22743654233427	3.1300168519165896	-254.97545056348454	2.7328444388358384	-0.3133141915785516	-23.986012696173105	-90.39202479975935	inf	inf	inf	inf	1.8211474589478973	inf	inf	inf	1.4700367413456683	3.923938754757413	-9.036012121173568	inf	-11.440367314402875	-73.02074143283185	inf	inf	inf	-1.1810383278833712	inf	-38.840745045133	inf	8.76685133627212	2.260234986777224	10.079866809165367	inf	-0.28307887749929966	inf	inf	6.552163477102017
{18} {24} {3,4,5}	[{18}, {24}, {3, 4, 5}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-4.96622706718036	inf	10.510104654239607	3.185387497965211	-162.5179381479929	5.627041825834156	3.5700941381013123	-0.5044284837774793	-inf	10.58545187006886	inf	inf	inf	2.3636636857694566	11.533232671677862	inf	inf	inf	6.155275229275707	-1.2775535392608812	9.303488030213401	-0.4341554141953178	-inf	10.472199322108322	inf	10.845524446082763	-36.42486125755197	inf	-223.71589819811214	inf	3.7675475758043406	6.780145580708505	11.852293304037403	10.585953358473095	3.6846244964678063	11.047162284920637	inf	inf
