	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO	AVERAGE	VAR	ST.DEV
MEAN			-12.84	6.11	-1.08	0.08	-10.67	0.04	-7.41	-13.01	-13.32	4.44	7.88	6.58	3.96	-7.36	-2.77	4.43	-0.52	-5.97	-2.86	-11.75	7.92	-11.52	-13.38	3.90	6.82	4.18	-4.66	10.21	-11.43	8.56	-1.70	-6.14	5.66	4.57	-7.34	9.61	8.83	1.99			
{3,4} {17,18,730} {5}	[{3, 4}, {17, 18, 730}, {5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	-16.00	-18.72	16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	-18.75	16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-7.91	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-10.59	-0.63	258.52	16.08
{17,18,730} {4} {4}	[{17, 18, 730}, {4}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc}	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-9.82	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.00	257.57	16.05
{3} {17,18,728,730} {24}	[{3}, {728, 17, 18, 730}, {24}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET}	-16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.38	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.02	257.32	16.04
{5} {5,26} {105}	[{5}, {26, 5}, {105}]	{feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem} {pos_PUNCT}	-16.00	16.00	-16.00	-14.29	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.33	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.22	256.90	16.03
{17,18} {4,5,24} {5}	[{17, 18}, {24, 4, 5}, {5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Number=Sing}	-16.00	16.00	16.00	-15.18	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.92	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.02	256.89	16.03
{5} {4,5} {4}	[{5}, {4, 5}, {4}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	-16.00	16.00	16.00	-14.83	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.69	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.04	256.45	16.01
{18} {24} {5} {105}	[{18}, {24}, {5}, {105}]	{pos_ADP} {pos_DET} {feats_Number=Sing} {pos_PUNCT}	-16.00	16.00	-16.00	16.00	-16.00	-13.30	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.38	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.25	256.18	16.01
{5} {4,5} {4,5}	[{5}, {4, 5}, {4, 5}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-14.60	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.54	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.05	256.17	16.01
{4,5} {18} {24}	[{4, 5}, {18}, {24}]	{feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {pos_DET}	-16.00	16.00	-16.00	-13.50	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.82	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.25	256.05	16.00
{24} {3,4} {17,18}	[{24}, {3, 4}, {17, 18}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	-16.00	16.00	16.00	-17.11	-16.00	-15.85	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-11.17	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-14.96	1.81	255.99	16.00
