	motifs_int	motifs_str	GR	freq_1	freq_2
17	[{5}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing}	1.0744542606758138	1757	1035
8	[{24}, {3}, {18}]	{pos_DET} {pos_NOUN} {pos_ADP}	0.992380280067997	1847	1178
5	[{5}, {5}, {18}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP}	0.9867158933369593	1983	1272
0	[{18}, {24}, {4}]	{pos_ADP} {pos_DET} {feats_Gender=Masc}	0.9835439319422037	1829	1177
4	[{24, 27}, {3}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	0.9778649209451689	1769	1145
16	[{18}, {24}, {3, 4}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc}	0.954310000092998	1651	1095
7	[{18}, {24, 27}, {4}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Masc}	0.9474484982440854	1702	1137
21	[{18}, {24}, {26}]	{pos_ADP} {pos_DET} {feats_Gender=Fem}	0.9399028669904435	1782	1200
6	[{18}, {24}, {3}]	{pos_ADP} {pos_DET} {pos_NOUN}	0.93694062430206	2407	1626
11	[{18}, {24, 27}, {26}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	0.933932547159107	1691	1146
27	[{18}, {24}, {5}]	{pos_ADP} {pos_DET} {feats_Number=Sing}	0.9286782907985086	2286	1558
15	[{18}, {24, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0.9258345689981633	2279	1558
26	[{18}, {5}, {26}]	{pos_ADP} {feats_Number=Sing} {feats_Gender=Fem}	0.9193508544560396	1637	1127
12	[{18}, {5}, {26, 5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	0.9179189059304673	1633	1126
14	[{18}, {24, 27}, {3}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	0.9174488783450087	2283	1575
20	[{18}, {5}, {5}]	{pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0.9156735281281754	2403	1661
24	[{18}, {24, 27}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	0.9153030516556133	2188	1513
19	[{18}, {24}, {26, 3}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	0.9147194128277267	1675	1159
22	[{18}, {5}, {3, 5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0.9145643787451357	2153	1490
2	[{18}, {24, 25, 27, 23}, {5}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0.9144810932148146	2056	1423
9	[{18}, {5}, {3}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN}	0.9141868544084298	2155	1492
28	[{18}, {24, 27, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0.9119564225819182	2180	1513
32	[{18}, {24, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0.9119091733422414	2092	1452
31	[{18}, {5, 23, 24, 25, 27}, {5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0.9109228010233174	2048	1423
29	[{18}, {24, 25, 27, 23}, {3}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0.9106802977323408	2164	1504
25	[{17, 18}, {24}, {3}]	{lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	0.902661407443691	1690	1185
23	[{17, 18}, {5}, {5}]	{lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0.900015456324318	1695	1192
18	[{18}, {24, 27, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0.8972916633399771	1989	1403
30	[{18}, {24, 27, 5}, {3}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN}	0.8971033724284548	1990	1404
1	[{18}, {5, 23, 24, 25, 27}, {3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0.894453222684355	1864	1319
13	[{18}, {5, 23, 24, 25, 27}, {3}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0.8942550999577477	1865	1320
10	[{5}, {18}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0.8897945648823146	1784	1269
3	[{3}, {18}, {5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing}	0.8551784409531551	1897	1404
