	motifs_int	motifs_str	GR	freq_1	freq_2
2431	[{73, 131, 69}]	{feats_p=3,pos_V,feats_n=p}	345.0	0.4227941176470588	0
5748	[{131}, {4}]	{feats_n=p} {feats_n=s}	337.0	0.41299019607843135	0
4119	[{3}, {9}, {19, 4}]	{pos_NC} {lemma_de} {feats_n=s,feats_g=m}	329.0	0.40318627450980393	0
1150	[{15}, {56, 57, 54, 55}]	{dep_prep} {lemma_.,pos_PONCT,dep_ponct,wp_.}	328.0	0.4019607843137255	0
373	[{4}, {57}]	{feats_n=s} {wp_.}	326.0	0.39950980392156865	0
3394	[{4}, {56, 57, 54, 55}]	{feats_n=s} {lemma_.,pos_PONCT,dep_ponct,wp_.}	325.0	0.39828431372549017	0
1648	[{113}, {15}]	{lemma_à} {dep_prep}	320.0	0.39215686274509803	0
2211	[{69}, {42}]	{feats_p=3} {dep_mod}	319.0	0.3909313725490196	0
3635	[{3, 131}, {56, 55}]	{pos_NC,feats_n=p} {pos_PONCT,dep_ponct}	317.0	0.38848039215686275	0
3637	[{4}, {36}]	{feats_n=s} {pos_NPP}	317.0	0.38848039215686275	0
5108	[{122}, {4, 15}]	{pos_P+D} {feats_n=s,dep_prep}	315.0	0.3860294117647059	0
5092	[{3, 19, 4}, {56, 55}]	{pos_NC,feats_n=s,feats_g=m} {pos_PONCT,dep_ponct}	315.0	0.3860294117647059	0
3858	[{19}, {56, 55}, {42}]	{feats_g=m} {pos_PONCT,dep_ponct} {dep_mod}	312.0	0.38235294117647056	0
834	[{122}, {19, 4, 15}]	{pos_P+D} {feats_n=s,dep_prep,feats_g=m}	311.0	0.38112745098039214	0
848	[{15}, {170, 171}]	{dep_prep} {pos_CC,dep_coord}	309.0	0.3786764705882353	0
3407	[{4}, {4}, {122}, {15}]	{feats_n=s} {feats_n=s} {pos_P+D} {dep_prep}	308.0	0.37745098039215685	0
2621	[{15}, {122}, {15}]	{dep_prep} {pos_P+D} {dep_prep}	307.0	0.3762254901960784	0
4714	[{122, 19, 4}, {4, 15}]	{feats_n=s,feats_g=m,pos_P+D} {feats_n=s,dep_prep}	306.0	0.375	0
2731	[{80, 81}, {3, 19, 4, 15}]	{pos_DET,dep_det} {pos_NC,feats_n=s,dep_prep,feats_g=m}	305.0	0.3737745098039216	0
2712	[{3, 15}, {9}, {4, 15}]	{pos_NC,dep_prep} {lemma_de} {feats_n=s,dep_prep}	305.0	0.3737745098039216	0
2733	[{122}, {3, 4, 15}]	{pos_P+D} {pos_NC,feats_n=s,dep_prep}	305.0	0.3737745098039216	0
3518	[{25, 15}]	{dep_prep,lemma__}	304.0	0.37254901960784315	0
3511	[{9, 10, 12, 42}, {4}]	{lemma_de,pos_P,wp_▁de,dep_mod} {feats_n=s}	304.0	0.37254901960784315	0
3279	[{122}, {3, 19, 4, 15}]	{pos_P+D} {pos_NC,feats_n=s,dep_prep,feats_g=m}	303.0	0.3713235294117647	0
3257	[{3, 15}, {56, 209, 210, 55}]	{pos_NC,dep_prep} {pos_PONCT,dep_ponct,lemma_,,wp_,}	303.0	0.3713235294117647	0
3264	[{5}, {5}, {9}]	{feats_g=f} {feats_g=f} {lemma_de}	303.0	0.3713235294117647	0
2746	[{122, 19, 4}, {19, 4, 15}]	{feats_n=s,feats_g=m,pos_P+D} {feats_n=s,dep_prep,feats_g=m}	302.0	0.3700980392156863	0
3483	[{11}, {19, 4, 15}]	{dep_dep} {feats_n=s,dep_prep,feats_g=m}	301.0	0.36887254901960786	0
3488	[{56, 55}, {80}]	{pos_PONCT,dep_ponct} {pos_DET}	301.0	0.36887254901960786	0
3489	[{56, 55}, {81}]	{pos_PONCT,dep_ponct} {dep_det}	301.0	0.36887254901960786	0
3474	[{4}, {4}, {9, 122}]	{feats_n=s} {feats_n=s} {lemma_de,pos_P+D}	301.0	0.36887254901960786	0
1806	[{23}, {19}]	{wp_'} {feats_g=m}	300.0	0.36764705882352944	0
1809	[{56, 55}, {80, 81}]	{pos_PONCT,dep_ponct} {pos_DET,dep_det}	300.0	0.36764705882352944	0
1786	[{3}, {9}, {15}, {56, 55}]	{pos_NC} {lemma_de} {dep_prep} {pos_PONCT,dep_ponct}	300.0	0.36764705882352944	0
1799	[{10}, {80, 81}, {3, 19, 4, 15}]	{pos_P} {pos_DET,dep_det} {pos_NC,feats_n=s,dep_prep,feats_g=m}	300.0	0.36764705882352944	0
1788	[{3}, {9, 10, 12}, {4, 15}]	{pos_NC} {lemma_de,pos_P,wp_▁de} {feats_n=s,dep_prep}	300.0	0.36764705882352944	0
3595	[{3}, {9, 10, 12}, {80, 81, 4}]	{pos_NC} {lemma_de,pos_P,wp_▁de} {feats_n=s,pos_DET,dep_det}	299.0	0.36642156862745096	0
3599	[{4}, {25, 36}]	{feats_n=s} {lemma__,pos_NPP}	299.0	0.36642156862745096	0
3615	[{19}, {9, 42}]	{feats_g=m} {lemma_de,dep_mod}	299.0	0.36642156862745096	0
4993	[{3}, {9, 10, 12, 42}]	{pos_NC} {lemma_de,pos_P,wp_▁de,dep_mod}	298.0	0.36519607843137253	0
1570	[{131}, {131}, {11}]	{feats_n=p} {feats_n=p} {dep_dep}	297.0	0.3639705882352941	0
1568	[{80, 81}, {3}, {9}, {19}]	{pos_DET,dep_det} {pos_NC} {lemma_de} {feats_g=m}	297.0	0.3639705882352941	0
1563	[{42}, {3, 19, 4}]	{dep_mod} {pos_NC,feats_n=s,feats_g=m}	297.0	0.3639705882352941	0
1561	[{19, 15}, {9}, {15}]	{dep_prep,feats_g=m} {lemma_de} {dep_prep}	297.0	0.3639705882352941	0
1553	[{122, 19, 4}, {3, 4, 15}]	{feats_n=s,feats_g=m,pos_P+D} {pos_NC,feats_n=s,dep_prep}	297.0	0.3639705882352941	0
1548	[{4}, {3}, {9}, {19}]	{feats_n=s} {pos_NC} {lemma_de} {feats_g=m}	297.0	0.3639705882352941	0
4031	[{113}, {4}]	{lemma_à} {feats_n=s}	296.0	0.3627450980392157	0
4013	[{3, 19}, {9, 10}, {15}]	{pos_NC,feats_g=m} {lemma_de,pos_P} {dep_prep}	296.0	0.3627450980392157	0
4012	[{3, 15}, {122}]	{pos_NC,dep_prep} {pos_P+D}	296.0	0.3627450980392157	0
4963	[{3}, {9, 10, 12}, {80, 81, 4}, {15}]	{pos_NC} {lemma_de,pos_P,wp_▁de} {feats_n=s,pos_DET,dep_det} {dep_prep}	295.0	0.36151960784313725	0
4981	[{122, 19, 4}, {3, 19, 4, 15}]	{feats_n=s,feats_g=m,pos_P+D} {pos_NC,feats_n=s,dep_prep,feats_g=m}	295.0	0.36151960784313725	0
4973	[{4}, {3}, {122}]	{feats_n=s} {pos_NC} {pos_P+D}	295.0	0.36151960784313725	0
4971	[{3, 131, 300}]	{pos_NC,feats_n=p,wp_s}	295.0	0.36151960784313725	0
4987	[{42}, {3}, {9}]	{dep_mod} {pos_NC} {lemma_de}	295.0	0.36151960784313725	0
4969	[{3, 19}, {10}, {80, 81}]	{pos_NC,feats_g=m} {pos_P} {pos_DET,dep_det}	295.0	0.36151960784313725	0
