	motifs_int	motifs_str	GR	freq_1	freq_2
1650	[{56, 55, 214, 215}]	{pos_PONCT,dep_ponct,lemma_),wp_▁)}	398.0	0.32070910556003224	0
2111	[{56, 55, 198, 199}]	{pos_PONCT,dep_ponct,lemma_(,wp_▁(}	387.0	0.31184528605962936	0
967	[{3, 4, 5}, {10}, {15}]	{pos_NC,feats_n=s,feats_g=f} {pos_P} {dep_prep}	322.0	0.2594681708299758	0
2801	[{56, 55, 198, 199}, {42}]	{pos_PONCT,dep_ponct,lemma_(,wp_▁(} {dep_mod}	319.0	0.2570507655116841	0
1911	[{3}, {25, 42}]	{pos_NC} {lemma__,dep_mod}	317.0	0.25543916196615635	0
2835	[{56, 55}, {56, 55}]	{pos_PONCT,dep_ponct} {pos_PONCT,dep_ponct}	313.0	0.25221595487510073	0
58	[{10, 180, 181}]	{pos_P,lemma_dans,wp_▁dans}	312.0	0.25141015310233683	0
829	[{9, 10, 12}, {4}, {3, 4, 5, 15}]	{lemma_de,pos_P,wp_▁de} {feats_n=s} {pos_NC,feats_n=s,feats_g=f,dep_prep}	310.0	0.24979854955680902	0
2651	[{6}]	{dep__}	1.2366469775040843	615.0	327
1951	[{3, 6}]	{pos_NC,dep__}	1.2252589375208822	382.0	205
1338	[{4, 5}, {10}, {15}]	{feats_n=s,feats_g=f} {pos_P} {dep_prep}	1.078719777791806	356.0	217
287	[{3}, {153, 42}, {42}]	{pos_NC} {dep_mod,pos_ADJ} {dep_mod}	1.0580077794689666	391.0	243
1397	[{23}, {3, 4, 5, 15}]	{wp_'} {pos_NC,feats_n=s,feats_g=f,dep_prep}	1.0543221539914973	372.0	232
1321	[{42, 300}]	{dep_mod,wp_s}	1.047945205479452	408.0	256
147	[{23}, {3, 5, 15}]	{wp_'} {pos_NC,feats_g=f,dep_prep}	1.0325342465753424	402.0	256
1896	[{4, 104, 80, 81, 23}, {3, 5}]	{feats_n=s,wp_',pos_DET,dep_det,lemma_le} {pos_NC,feats_g=f}	1.0231131327021739	403.0	259
1784	[{42}, {42}, {56, 55}]	{dep_mod} {dep_mod} {pos_PONCT,dep_ponct}	1.0224814839090255	325.0	209
1282	[{3, 19}, {42, 131}]	{pos_NC,feats_g=m} {dep_mod,feats_n=p}	1.0191780821917809	341.0	220
857	[{4, 104, 80, 81, 23}, {3, 4, 5}]	{feats_n=s,wp_',pos_DET,dep_det,lemma_le} {pos_NC,feats_n=s,feats_g=f}	1.0180356481726345	401.0	259
1389	[{4, 104, 105, 80, 81, 23}, {3, 5}]	{feats_n=s,wp_',pos_DET,dep_det,lemma_le,wp_▁l} {pos_NC,feats_g=f}	1.0149491274938895	372.0	241
1757	[{10, 180}]	{pos_P,lemma_dans}	1.014481409001957	324.0	210
201	[{131, 397, 398}]	{feats_n=p,pos_VPP,feats_t=K}	1.0142155595761178	327.0	212
1614	[{23}, {4, 5, 15}]	{wp_'} {feats_n=s,feats_g=f,dep_prep}	1.0134722064983583	373.0	242
113	[{23}, {3, 4, 5}]	{wp_'} {pos_NC,feats_n=s,feats_g=f}	1.0134273701342738	467.0	303
1826	[{4, 104, 105, 80, 81, 23}, {3, 4, 5}]	{feats_n=s,wp_',pos_DET,dep_det,lemma_le,wp_▁l} {pos_NC,feats_n=s,feats_g=f}	1.0094924117546753	370.0	241
1231	[{3, 19, 131}, {131}]	{pos_NC,feats_g=m,feats_n=p} {feats_n=p}	1.0088196659786077	336.0	219
966	[{3}, {10}, {80, 81, 4}, {3, 4, 5, 15}]	{pos_NC} {pos_P} {feats_n=s,pos_DET,dep_det} {pos_NC,feats_n=s,feats_g=f,dep_prep}	1.003440888138674	322.0	211
2317	[{153, 42}, {42}]	{dep_mod,pos_ADJ} {dep_mod}	1.0032481287953678	444.0	291
2238	[{23}, {3, 5}]	{wp_'} {pos_NC,feats_g=f}	1.0015691929259087	492.0	323
830	[{9, 10, 12}, {80, 81, 4}, {3, 5, 15}]	{lemma_de,pos_P,wp_▁de} {feats_n=s,pos_DET,dep_det} {pos_NC,feats_g=f,dep_prep}	0.9991941982272361	310.0	204
1785	[{42, 131, 300}]	{dep_mod,feats_n=p,wp_s}	0.9985917296120854	325.0	214
54	[{9, 10, 12}, {4}, {3, 5}]	{lemma_de,pos_P,wp_▁de} {feats_n=s} {pos_NC,feats_g=f}	0.9958771113179945	312.0	206
2838	[{80, 81, 131}, {3}, {42, 131}]	{pos_DET,dep_det,feats_n=p} {pos_NC} {dep_mod,feats_n=p}	0.9942426047250348	313.0	207
522	[{9, 10, 12}, {4}, {3, 5, 15}]	{lemma_de,pos_P,wp_▁de} {feats_n=s} {pos_NC,feats_g=f,dep_prep}	0.9926851974996675	311.0	206
2603	[{80, 131}, {3}, {42, 131}]	{pos_DET,feats_n=p} {pos_NC} {dep_mod,feats_n=p}	0.9926238145416229	314.0	208
1082	[{131, 398}]	{feats_n=p,feats_t=K}	0.9891602144133413	346.0	230
1349	[{19}, {42, 131}]	{feats_g=m} {dep_mod,feats_n=p}	0.9876885729148602	356.0	237
257	[{3, 131}, {42}, {42}]	{pos_NC,feats_n=p} {dep_mod} {dep_mod}	0.9863013698630138	330.0	220
1739	[{3}, {10}, {4}, {3, 5}]	{pos_NC} {pos_P} {feats_n=s} {pos_NC,feats_g=f}	0.9863013698630136	324.0	216
668	[{3, 4, 5}, {10, 11}]	{pos_NC,feats_n=s,feats_g=f} {pos_P,dep_dep}	0.9849023608277472	352.0	235
2737	[{3}, {10}, {80, 81, 4}, {4, 5}]	{pos_NC} {pos_P} {feats_n=s,pos_DET,dep_det} {feats_n=s,feats_g=f}	0.9848001501219742	328.0	219
1090	[{3}, {10}, {80, 81, 4}, {3, 5, 15}]	{pos_NC} {pos_P} {feats_n=s,pos_DET,dep_det} {pos_NC,feats_g=f,dep_prep}	0.9832572298325722	323.0	216
1236	[{9, 10}, {80, 81, 4}, {3, 4, 5, 15}]	{lemma_de,pos_P} {feats_n=s,pos_DET,dep_det} {pos_NC,feats_n=s,feats_g=f,dep_prep}	0.9819178082191781	336.0	225
1675	[{56, 55}, {42, 4}]	{pos_PONCT,dep_ponct} {feats_n=s,dep_mod}	0.9816708469998071	318.0	213
2529	[{3, 4}, {9, 10}, {5}]	{pos_NC,feats_n=s} {lemma_de,pos_P} {feats_g=f}	0.9805335255948089	340.0	228
2907	[{9, 10}, {4}, {3, 4, 5, 15}]	{lemma_de,pos_P} {feats_n=s} {pos_NC,feats_n=s,feats_g=f,dep_prep}	0.9804824827251787	337.0	226
630	[{105}, {5}]	{wp_▁l} {feats_g=f}	0.977276390008058	379.0	255
90	[{19}, {42}, {56, 55}]	{feats_g=m} {dep_mod} {pos_PONCT,dep_ponct}	0.9768307119905293	361.0	243
1063	[{3}, {10}, {4}, {4, 5}]	{pos_NC} {pos_P} {feats_n=s} {feats_n=s,feats_g=f}	0.9722514927994381	346.0	234
563	[{80, 81, 23}, {5}]	{wp_',pos_DET,dep_det} {feats_g=f}	0.9719028097190282	405.0	274
831	[{9, 10, 12}, {80, 81, 4}, {4, 5, 15}]	{lemma_de,pos_P,wp_▁de} {feats_n=s,pos_DET,dep_det} {feats_n=s,feats_g=f,dep_prep}	0.9706457925636008	310.0	210
1843	[{4, 104, 80, 81, 23}, {5}]	{feats_n=s,wp_',pos_DET,dep_det,lemma_le} {feats_g=f}	0.9695030496950306	404.0	274
410	[{5}, {9, 10, 12}, {15}]	{feats_g=f} {lemma_de,pos_P,wp_▁de} {dep_prep}	0.967865830239406	315.0	214
2908	[{9, 10}, {80, 81, 4}, {3, 5, 15}]	{lemma_de,pos_P} {feats_n=s,pos_DET,dep_det} {pos_NC,feats_g=f,dep_prep}	0.9676377340431894	337.0	229
310	[{9, 10}, {4}, {3, 5, 15}]	{lemma_de,pos_P} {feats_n=s} {pos_NC,feats_g=f,dep_prep}	0.9662894580107206	338.0	230
1002	[{3}, {10}, {80, 81, 4}, {5}]	{pos_NC} {pos_P} {feats_n=s,pos_DET,dep_det} {feats_g=f}	0.9657534246575342	329.0	224
242	[{9, 10}, {4}, {3, 5}]	{lemma_de,pos_P} {feats_n=s} {pos_NC,feats_g=f}	0.9649528553638143	339.0	231
141	[{4, 104, 80, 81, 23}, {4, 5}]	{feats_n=s,wp_',pos_DET,dep_det,lemma_le} {feats_n=s,feats_g=f}	0.9647035296470354	402.0	274
523	[{9, 10, 12}, {4}, {4, 5, 15}]	{lemma_de,pos_P,wp_▁de} {feats_n=s} {feats_n=s,feats_g=f,dep_prep}	0.9645903334194882	311.0	212
1579	[{56, 55}, {42, 3}]	{pos_PONCT,dep_ponct} {pos_NC,dep_mod}	0.9642102983377551	371.0	253
2943	[{4, 5}, {10, 11}]	{feats_n=s,feats_g=f} {pos_P,dep_dep}	0.9640342738634503	368.0	251
1609	[{105, 4}, {5}]	{feats_n=s,wp_▁l} {feats_g=f}	0.9618049959709911	373.0	255
1919	[{4}, {10}, {4}, {3, 4, 5, 15}]	{feats_n=s} {pos_P} {feats_n=s} {pos_NC,feats_n=s,feats_g=f,dep_prep}	0.9605454201123668	317.0	217
