	medoids	medoids_index	medoids_GR	itemset	itemset_index	itemset_GR	item	item_index	item_GR	itemset*GR	itemset*GR_index	itemset*GR_GR	item*GR	item*GR_index	item*GR_GR	itemset*recouvrement	itemset*recouvrement_index	itemset*recouvrement_GR	item*recouvrement	item*recouvrement_index	item*recouvrement_GR
0	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0	{wp_▁localisation}	[{11965}]	177.0	{wp_.,lemma_localisation,wp_▁localisation,lemma_.}	[{57, 11964, 11965, 54}]	138.0	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation}	[{11965}]	177.0
1	{wp_▁V} {form_Dynamiques,wp_▁V}	[{11957}, {11968, 11957}]	105.0	{wp_.}	[{57}]	145.0	{form_Dynamiques,wp_▁Historique,lemma_7114} {lemma_7114,wp_▁Historique}	[{11968, 11962, 11976}, {11976, 11962}]	102.0	{form_acquisition}	[{12005}]	154.0	{form_Dynamiques,form_acquisition}	[{11968, 12005}]	153.0	{form_acquisition}	[{12005}]	154.0	{form_Dynamiques} {wp_▁localisation}	[{11968}, {11965}]	156.0
2	{wp_▁V} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11957}, {11968, 11962, 11957}]	82.0	{wp_▁localisation} {lemma_7114} {lemma_7114}	[{11965}, {11976}, {11976}]	134.0	{wp_▁le,lemma_le,form_RER,lemma_7114,pos_DET,wp_▁restés,wp_▁Historique}	[{229, 104, 12073, 11976, 80, 12052, 11962}]	89.0	{lemma_7114} {lemma_7114}	[{11976}, {11976}]	146.0	{pos_DET,form_RER,lemma_le,wp_▁restés}	[{80, 12073, 104, 12052}]	138.0	{wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}]	144.0	{wp_.,lemma_localisation,wp_▁localisation,lemma_.}	[{57, 11964, 11965, 54}]	138.0
3	{wp_▁localisation} {wp_▁Historique} {form_Dynamiques}	[{11965}, {11962}, {11968}]	77.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{form_Dynamiques,wp_▁Historique} {wp_▁Historique}	[{11968, 11962}, {11962}]	76.0	{wp_▁localisation} {pos_DET}	[{11965}, {80}]	138.0	{wp_▁localisation} {lemma_7114} {lemma_7114}	[{11965}, {11976}, {11976}]	134.0	{wp_▁localisation} {lemma_7114} {lemma_7114}	[{11965}, {11976}, {11976}]	134.0	{pos_DET,lemma_7114}	[{80, 11976}]	129.0
4	{pos_DET,wp_▁restés,lemma_7114} {lemma_7114,form_acquisition} {wp_▁localisation}	[{80, 12052, 11976}, {11976, 12005}, {11965}]	74.0	{form_Dynamiques} {form_2001,wp_▁localisation} {form_Dynamiques}	[{11968}, {11978, 11965}, {11968}]	107.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0	{wp_▁Historique} {wp_▁Historique}	[{11962}, {11962}]	127.0	{form_Dynamiques} {wp_▁localisation} {wp_▁localisation}	[{11968}, {11965}, {11965}]	127.0	{wp_▁Historique} {lemma_7114}	[{11962}, {11976}]	127.0	{wp_▁Historique} {lemma_7114}	[{11962}, {11976}]	127.0
5	{wp_▁localisation} {lemma_de,form_2001,wp_▁localisation} {pos_DET,form_RER,lemma_le,wp_▁restés} {form_Dynamiques}	[{11965}, {9, 11978, 11965}, {80, 12073, 104, 12052}, {11968}]	64.0	{form_bus} {wp_▁localisation}	[{12087}, {11965}]	98.0	{lemma_7114,form_caractérise,wp_▁caractérise}	[{11976, 12241, 12242}]	50.0	{pos_DET,wp_▁restés,lemma_7114} {lemma_7114}	[{80, 12052, 11976}, {11976}]	123.0	{pos_DET,wp_▁restés,lemma_7114} {lemma_7114}	[{80, 12052, 11976}, {11976}]	123.0	{wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11962}, {11962}, {11965}]	121.0	{lemma_7114,wp_▁Historique} {lemma_7114} {wp_▁localisation}	[{11976, 11962}, {11976}, {11965}]	121.0
6	{pos_DET} {form_acquisition} {wp_▁localisation} {lemma_7114}	[{80}, {12005}, {11965}, {11976}]	53.0	{lemma_7114,wp_▁Historique} {lemma_de,form_2001,wp_▁localisation}	[{11976, 11962}, {9, 11978, 11965}]	90.0	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11968, 11962, 11957}]	0.3743016759776536	{form_Dynamiques} {wp_▁localisation} {form_Dynamiques}	[{11968}, {11965}, {11968}]	119.0	{lemma_7114} {form_Dynamiques,lemma_7114} {wp_▁localisation}	[{11976}, {11968, 11976}, {11965}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁localisation} {wp_▁V} {wp_▁V}	[{11965}, {11957}, {11957}]	109.0
7	{form_acquisition} {wp_▁localisation} {form_Dynamiques,lemma_7114}	[{12005}, {11965}, {11968, 11976}]	0.40782122905027934	{wp_▁localisation} {wp_▁localisation} {pos_DET,form_RER,lemma_le,wp_▁restés} {form_Dynamiques} {wp_▁localisation}	[{11965}, {11965}, {80, 12073, 104, 12052}, {11968}, {11965}]	81.0	{lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {wp_▁le,dep__,lemma_le,form_RER,lemma_7114,pos_DET,wp_▁restés,wp_▁Historique}	[{25, 11965, 12071}, {11978, 11965, 6}, {229, 6, 104, 12073, 11976, 80, 12052, 11962}]	0.329608938547486	{form_2001,wp_▁localisation} {lemma_7114} {lemma_7114}	[{11978, 11965}, {11976}, {11976}]	114.0	{lemma_7114} {form_2001,wp_▁localisation} {lemma_7114}	[{11976}, {11978, 11965}, {11976}]	113.0	{wp_▁localisation} {wp_▁V} {wp_▁V}	[{11965}, {11957}, {11957}]	109.0	{wp_▁localisation} {pos_DET,wp_▁restés,lemma_7114} {form_Dynamiques,lemma_7114} {wp_▁localisation}	[{11965}, {80, 12052, 11976}, {11968, 11976}, {11965}]	99.0
8	{wp_▁localisation} {lemma_7114} {form_Dynamiques,lemma_7114} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11976}, {11968, 11976}, {11965}, {11965}]	0.3575418994413408	{wp_▁Historique} {wp_▁localisation} {form_2001,wp_▁localisation}	[{11962}, {11965}, {11978, 11965}]	71.0	{lemma__,wp_▁localisation,lemma_transport} {dep__,lemma_de,form_2001,wp_▁de,wp_▁localisation} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {wp_▁Historique}	[{25, 11965, 12071}, {6, 9, 11978, 12, 11965}, {6, 104, 12073, 80, 12052}, {11962}]	0.31843575418994413	{form_Dynamiques} {wp_▁localisation} {form_acquisition}	[{11968}, {11965}, {12005}]	105.0	{lemma_le,form_RER,lemma_7114,pos_DET,wp_▁restés,wp_▁Historique}	[{104, 12073, 11976, 80, 12052, 11962}]	98.0	{pos_ADJ}	[{153}]	101.0	{wp_▁localisation} {wp_▁localisation} {wp_▁V}	[{11965}, {11965}, {11957}]	95.0
9	{wp_▁localisation} {pos_DET,wp_▁restés} {form_Dynamiques} {form_2001,wp_▁localisation} {form_Dynamiques}	[{11965}, {80, 12052}, {11968}, {11978, 11965}, {11968}]	0.3407821229050279	{wp_▁des}	[{147}]	61.0	{form_Dynamiques,form_acquisition,lemma_7114} {wp_▁localisation} {form_2001,wp_▁localisation}	[{11968, 12005, 11976}, {11965}, {11978, 11965}]	0.30726256983240224	{wp_▁localisation} {wp_▁localisation} {pos_DET,form_RER,lemma_le,wp_▁restés}	[{11965}, {11965}, {80, 12073, 104, 12052}]	102.0	{pos_DET} {form_Dynamiques} {wp_▁localisation} {lemma_7114}	[{80}, {11968}, {11965}, {11976}]	96.0	{wp_▁localisation} {wp_▁localisation} {wp_▁V}	[{11965}, {11965}, {11957}]	95.0	{wp_▁localisation} {wp_▁V} {wp_▁Historique,wp_▁V}	[{11965}, {11957}, {11962, 11957}]	82.0
