	medoids	medoids_index	medoids_GR	itemset	itemset_index	itemset_GR	item	item_index	item_GR	itemset*GR	itemset*GR_index	itemset*GR_GR	item*GR	item*GR_index	item*GR_GR	itemset*recouvrement	itemset*recouvrement_index	itemset*recouvrement_GR	item*recouvrement	item*recouvrement_index	item*recouvrement_GR
0	{wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11962}, {11962}, {11965}]	121.0	{wp_▁localisation} {wp_▁localisation} {wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11965}, {11965}, {11962}, {11962}, {11965}]	0.33519553072625696	{wp_▁localisation} {wp_▁localisation} {wp_▁Historique} {form_Dynamiques,wp_▁Historique} {wp_▁localisation}	[{11965}, {11965}, {11962}, {11968, 11962}, {11965}]	0.2569832402234637	{wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11962}, {11962}, {11965}]	121.0	{wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11962}, {11962}, {11965}]	121.0	{wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11962}, {11962}, {11965}]	121.0	{wp_▁Historique} {wp_▁Historique} {wp_▁localisation}	[{11962}, {11962}, {11965}]	121.0
1	{wp_▁localisation} {form_placé}	[{11965}, {11983}]	0.40782122905027934	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation,form_placé}	[{11965, 11983}]	87.0	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation}	[{11965}]	177.0	{wp_▁localisation}	[{11965}]	177.0
2	{wp_▁localisation} {wp_▁localisation,form_placé} {wp_▁localisation}	[{11965}, {11965, 11983}, {11965}]	0.27932960893854747	{wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}]	144.0	{lemma_localisation,wp_▁localisation,lemma_),wp_▁)}	[{11964, 11965, 214, 215}]	0.26256983240223464	{wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}]	144.0	{lemma_localisation,wp_▁localisation}	[{11964, 11965}]	172.0	{wp_▁localisation} {wp_▁localisation}	[{11965}, {11965}]	144.0	{lemma_localisation,wp_▁localisation}	[{11964, 11965}]	172.0
3	{wp_▁localisation} {lemma_7114} {wp_▁localisation} {wp_▁Historique}	[{11965}, {11976}, {11965}, {11962}]	0.3016759776536313	{wp_▁localisation} {lemma_7114} {wp_▁localisation} {wp_▁localisation}	[{11965}, {11976}, {11965}, {11965}]	0.4022346368715084	{lemma_7114,wp_▁Historique} {form_Dynamiques,wp_▁Historique,lemma_7114} {lemma_de,form_2001,wp_▁localisation} {lemma_7114}	[{11976, 11962}, {11968, 11962, 11976}, {9, 11978, 11965}, {11976}]	0.3016759776536313	{wp_▁localisation} {lemma_7114} {wp_▁localisation}	[{11965}, {11976}, {11965}]	121.0	{lemma_7114} {lemma_7114,wp_▁Historique} {wp_▁localisation}	[{11976}, {11976, 11962}, {11965}]	121.0	{wp_▁localisation} {lemma_7114} {wp_▁localisation}	[{11965}, {11976}, {11965}]	121.0	{lemma_7114} {lemma_7114,wp_▁Historique} {wp_▁localisation}	[{11976}, {11976, 11962}, {11965}]	121.0
4	{form_Dynamiques,lemma_7114} {wp_'}	[{11968, 11976}, {23}]	0.29608938547486036	{form_Dynamiques,lemma_7114} {wp_'}	[{11968, 11976}, {23}]	0.29608938547486036	{lemma_le,wp_▁l,lemma_7114,form_RER,pos_DET,wp_▁restés,wp_'} {form_Dynamiques,lemma_7114}	[{104, 105, 11976, 12073, 80, 12052, 23}, {11968, 11976}]	50.0	{wp_'} {lemma_7114}	[{23}, {11976}]	89.0	{lemma_le,form_RER,lemma_7114,pos_DET,wp_▁restés,wp_'} {form_Dynamiques,lemma_7114}	[{104, 12073, 11976, 80, 12052, 23}, {11968, 11976}]	51.0	{wp_'} {lemma_7114}	[{23}, {11976}]	89.0	{wp_'} {form_Dynamiques,lemma_7114}	[{23}, {11968, 11976}]	72.0
5	{lemma_de,form_2001,wp_▁localisation} {form_Dynamiques,lemma_7114}	[{9, 11978, 11965}, {11968, 11976}]	0.49162011173184356	{lemma_de,form_2001,wp_▁localisation}	[{9, 11978, 11965}]	138.0	{lemma_de,form_2001,wp_▁localisation,wp_▁d}	[{9, 11978, 11965, 22}]	0.3687150837988827	{form_Dynamiques,lemma_7114}	[{11968, 11976}]	168.0	{lemma_de,form_2001,wp_▁localisation}	[{9, 11978, 11965}]	138.0	{form_Dynamiques,lemma_7114}	[{11968, 11976}]	168.0	{form_Dynamiques,wp_▁Historique,lemma_7114}	[{11968, 11962, 11976}]	151.0
6	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0	{wp_▁le,lemma_le,form_RER,lemma_7114,pos_DET,wp_▁restés,wp_▁Historique} {form_Dynamiques,wp_▁Historique,lemma_7114} {wp_▁localisation} {lemma_7114}	[{229, 104, 12073, 11976, 80, 12052, 11962}, {11968, 11962, 11976}, {11965}, {11976}]	0.2737430167597765	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0	{wp_▁localisation} {lemma_7114}	[{11965}, {11976}]	156.0
7	{wp_▁localisation} {lemma_7114,form_acquisition} {form_Dynamiques}	[{11965}, {11976, 12005}, {11968}]	66.0	{form_Dynamiques} {wp_▁localisation} {lemma_7114} {wp_▁localisation}	[{11968}, {11965}, {11976}, {11965}]	84.0	{form_Dynamiques,wp_▁Historique,lemma_7114} {form_2001,wp_▁localisation} {form_Dynamiques,form_acquisition,lemma_7114}	[{11968, 11962, 11976}, {11978, 11965}, {11968, 12005, 11976}]	0.26256983240223464	{wp_▁localisation} {lemma_7114} {form_Dynamiques}	[{11965}, {11976}, {11968}]	114.0	{form_Dynamiques,wp_▁Historique}	[{11968, 11962}]	157.0	{wp_▁localisation} {lemma_7114} {form_Dynamiques}	[{11965}, {11976}, {11968}]	114.0	{form_Dynamiques,wp_▁Historique}	[{11968, 11962}]	157.0
8	{wp_▁localisation} {form_Dynamiques,form_acquisition} {form_2001,wp_▁localisation} {lemma_7114}	[{11965}, {11968, 12005}, {11978, 11965}, {11976}]	0.27932960893854747	{wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11965}, {11965}, {11976}]	109.0	{form_Dynamiques,lemma_7114} {wp_▁localisation} {pos_DET,wp_▁restés,lemma_7114} {form_Dynamiques,lemma_7114}	[{11968, 11976}, {11965}, {80, 12052, 11976}, {11968, 11976}]	0.29608938547486036	{lemma_7114} {wp_▁localisation}	[{11976}, {11965}]	163.0	{lemma_7114} {wp_▁localisation}	[{11976}, {11965}]	163.0	{lemma_7114} {wp_▁localisation}	[{11976}, {11965}]	163.0	{lemma_7114} {wp_▁localisation}	[{11976}, {11965}]	163.0
9	{form_2001,wp_▁localisation} {form_Dynamiques,form_acquisition,lemma_7114} {wp_▁localisation} {lemma_7114}	[{11978, 11965}, {11968, 12005, 11976}, {11965}, {11976}]	0.2569832402234637	{wp_▁localisation} {lemma_7114} {wp_▁localisation} {lemma_7114,form_acquisition}	[{11965}, {11976}, {11965}, {11976, 12005}]	0.2569832402234637	{form_Dynamiques,form_acquisition,lemma_7114} {wp_▁localisation} {form_2001,wp_▁localisation}	[{11968, 12005, 11976}, {11965}, {11978, 11965}]	0.30726256983240224	{lemma_7114,form_acquisition} {wp_▁localisation} {lemma_7114}	[{11976, 12005}, {11965}, {11976}]	83.0	{wp_▁localisation} {lemma_7114} {form_Dynamiques,form_acquisition,lemma_7114}	[{11965}, {11976}, {11968, 12005, 11976}]	79.0	{wp_▁localisation} {lemma_7114} {lemma_de,form_2001,wp_▁localisation}	[{11965}, {11976}, {9, 11978, 11965}]	0.29608938547486036	{wp_▁localisation} {lemma_7114} {lemma_de,form_2001,wp_▁localisation}	[{11965}, {11976}, {9, 11978, 11965}]	0.29608938547486036
