id	genre	num_words	num_sents
ca01	news	2242	98
ca02	news	2277	98
ca03	news	2275	112
ca04	news	2217	88
ca05	news	2244	84
ca06	news	2263	99
ca07	news	2270	120
ca08	news	2187	101
ca09	news	2234	113
ca10	news	2282	106
ca11	news	2259	100
ca12	news	2338	104
ca13	news	2241	108
ca14	news	2329	133
ca15	news	2314	110
ca16	news	2374	116
ca17	news	2293	104
ca18	news	2314	105
ca19	news	2260	113
ca20	news	2317	97
ca21	news	2245	112
ca22	news	2309	106
ca23	news	2327	113
ca24	news	2252	100
ca25	news	2327	107
ca26	news	2278	107
ca27	news	2288	115
ca28	news	2220	93
ca29	news	2349	119
ca30	news	2274	118
ca31	news	2311	113
ca32	news	2323	124
ca33	news	2284	93
ca34	news	2235	94
ca35	news	2217	74
ca36	news	2229	86
ca37	news	2324	95
ca38	news	2221	95
ca39	news	2452	126
ca40	news	2340	96
ca41	news	2313	103
ca42	news	2338	104
ca43	news	2291	129
ca44	news	2277	92
cb01	editorial	2200	103
cb02	editorial	2234	95
cb03	editorial	2244	96
cb04	editorial	2230	117
cb05	editorial	2241	105
cb06	editorial	2231	99
cb07	editorial	2239	92
cb08	editorial	2395	128
cb09	editorial	2312	125
cb10	editorial	2298	136
cb11	editorial	2293	110
cb12	editorial	2296	105
cb13	editorial	2267	143
cb14	editorial	2264	119
cb15	editorial	2311	102
cb16	editorial	2260	120
cb17	editorial	2288	126
cb18	editorial	2194	115
cb19	editorial	2287	138
cb20	editorial	2299	110
cb21	editorial	2278	78
cb22	editorial	2294	94
cb23	editorial	2357	133
cb24	editorial	2346	109
cb25	editorial	2368	79
cb26	editorial	2316	112
cb27	editorial	2262	108
cc01	reviews	2415	116
cc02	reviews	2320	99
cc03	reviews	2356	114
cc04	reviews	2342	102
cc05	reviews	2398	105
cc06	reviews	2433	83
cc07	reviews	2421	120
cc08	reviews	2351	91
cc09	reviews	2345	90
cc10	reviews	2461	110
cc11	reviews	2480	109
cc12	reviews	2342	92
cc13	reviews	2282	94
cc14	reviews	2574	102
cc15	reviews	2503	127
cc16	reviews	2311	96
cc17	reviews	2370	101
cd01	religion	2213	84
cd02	religion	2334	67
cd03	religion	2332	84
cd04	religion	2318	96
cd05	religion	2410	71
cd06	religion	2317	88
cd07	religion	2359	122
cd08	religion	2332	72
cd09	religion	2314	170
cd10	religion	2238	96
cd11	religion	2304	67
cd12	religion	2307	81
cd13	religion	2236	104
cd14	religion	2276	93
cd15	religion	2315	99
cd16	religion	2451	171
cd17	religion	2343	151
ce01	hobbies	2258	104
ce02	hobbies	2279	124
ce03	hobbies	2257	99
ce04	hobbies	2295	96
ce05	hobbies	2271	112
ce06	hobbies	2222	94
ce07	hobbies	2370	132
ce08	hobbies	2226	130
ce09	hobbies	2476	142
ce10	hobbies	2402	131
ce11	hobbies	2333	113
ce12	hobbies	2288	121
ce13	hobbies	2261	75
ce14	hobbies	2346	168
