	0
"form_""Marketing"""	1
"lemma_""marketing"""	2
"pos_""NOUN"""	3
feats_Number=Sing	4
"dep_""nsubj"""	5
"form_""in"""	6
"lemma_""in"""	7
"pos_""ADP"""	8
feats_58	9
"dep_""case"""	10
"form_""the"""	11
"lemma_""the"""	12
"pos_""DET"""	13
feats_Definite=Def	14
feats_PronType=Art	15
"dep_""det"""	16
"form_""new"""	17
"lemma_""new"""	18
"pos_""ADJ"""	19
feats_Degree=Pos	20
"dep_""amod"""	21
"form_""decade"""	22
"lemma_""decade"""	23
"dep_""nmod"""	24
"form_""will"""	25
"lemma_""will"""	26
"pos_""AUX"""	27
feats_VerbForm=Fin	28
"dep_""aux"""	29
"form_""be"""	30
"lemma_""be"""	31
feats_VerbForm=Inf	32
"dep_""cop"""	33
"form_""no"""	34
"lemma_""no"""	35
feats_68	36
"form_""picnic"""	37
"lemma_""picnic"""	38
"dep_""root"""	39
"form_""--"""	40
"lemma_""--"""	41
"pos_""PUNCT"""	42
feats_11	43
"dep_""punct"""	44
"form_""for"""	45
"lemma_""for"""	46
feats_43	47
"form_""sixties"""	48
"lemma_""sixty"""	49
feats_Number=Plur	50
"dep_""obl"""	51
"form_""present"""	52
"lemma_""present"""	53
"pos_""VERB"""	54
"dep_""parataxis"""	55
"form_""possibly"""	56
"lemma_""possibly"""	57
"pos_""ADV"""	58
feats_81	59
"dep_""advmod"""	60
"form_""most"""	61
"lemma_""most"""	62
feats_Degree=Sup	63
"form_""intense"""	64
"lemma_""intense"""	65
"form_""competitive"""	66
"lemma_""competitive"""	67
"form_""activity"""	68
"lemma_""activity"""	69
"dep_""obj"""	70
"form_""that"""	71
"lemma_""that"""	72
"pos_""PRON"""	73
feats_PronType=Rel	74
"form_""you"""	75
"lemma_""you"""	76
feats_Case=Nom	77
feats_Person=2	78
feats_PronType=Prs	79
"form_""have"""	80
"lemma_""have"""	81
feats_Mood=Ind	82
feats_Tense=Pres	83
"form_""experienced"""	84
"lemma_""experience"""	85
feats_Tense=Past	86
feats_VerbForm=Part	87
"dep_""acl:relcl"""	88
feats_1	89
"form_""last"""	90
"lemma_""last"""	91
"form_""20"""	92
"lemma_""20"""	93
"pos_""NUM"""	94
feats_NumForm=Digit	95
feats_NumType=Card	96
"dep_""nummod"""	97
"form_""-"""	98
"lemma_""-"""	99
"pos_""SYM"""	100
feats_15	101
"form_""25"""	102
"lemma_""25"""	103
"form_""yrs"""	104
"lemma_""year"""	105
"form_""."""	106
"lemma_""."""	107
feats_4	108
feats_28	109
"form_""Why"""	110
"lemma_""why"""	111
feats_PronType=Int	112
"form_""?"""	113
"lemma_""?"""	114
feats_39	115
feats_49	116
"form_""Companies"""	117
"lemma_""company"""	118
"form_""of"""	119
"lemma_""of"""	120
"form_""all"""	121
"lemma_""all"""	122
feats_22	123
"form_""types"""	124
"lemma_""type"""	125
feats_Person=3	126
"form_""made"""	127
"lemma_""make"""	128
"form_""great"""	129
"lemma_""great"""	130
"form_""advances"""	131
"lemma_""advance"""	132
"form_""production"""	133
"lemma_""production"""	134
"dep_""compound"""	135
"form_""capabilities"""	136
"lemma_""capability"""	137
"form_""and"""	138
"lemma_""and"""	139
"pos_""CCONJ"""	140
feats_37	141
"dep_""cc"""	142
"form_""efficiencies"""	143
"lemma_""efficiency"""	144
"dep_""conj"""	145
feats_38	146
feats_48	147
"form_""modern"""	148
"lemma_""modern"""	149
"form_""equipment"""	150
"lemma_""equipment"""	151
feats_5	152
"form_""processes"""	153
"lemma_""process"""	154
"form_"","""	155
"lemma_"","""	156
"form_""enlarged"""	157
"lemma_""enlarge"""	158
"form_""R"""	159
"lemma_""R"""	160
"form_""&"""	161
"lemma_""&"""	162
feats_95	163
"form_""D"""	164
"lemma_""D"""	165
"form_""facilities"""	166
"lemma_""facility"""	167
feats_35	168
"form_""faster"""	169
"lemma_""fast"""	170
feats_Degree=Cmp	171
"form_""product"""	172
"lemma_""product"""	173
"form_""development"""	174
"lemma_""development"""	175
feats_12	176
"form_""Many"""	177
"lemma_""many"""	178
"form_""companies"""	179
"form_""upgraded"""	180
"lemma_""upgrade"""	181
"form_""their"""	182
"lemma_""their"""	183
feats_Case=Gen	184
feats_Poss=Yes	185
"dep_""nmod:poss"""	186
"form_""sales"""	187
"lemma_""sale"""	188
"form_""manpower"""	189
"lemma_""manpower"""	190
feats_31	191
"form_""tested"""	192
"lemma_""test"""	193
"form_""selling"""	194
"lemma_""sell"""	195
"form_""distribution"""	196
"lemma_""distribution"""	197
feats_3	198
"form_""promotion"""	199
"lemma_""promotion"""	200
"form_""techniques"""	201
"lemma_""technique"""	202
"form_""to"""	203
"lemma_""to"""	204
"pos_""PART"""	205
feats_13	206
"dep_""mark"""	207
"form_""gain"""	208
"lemma_""gain"""	209
"dep_""advcl"""	210
"form_""a"""	211
"lemma_""a"""	212
feats_Definite=Ind	213
"form_""bigger"""	214
"lemma_""big"""	215
"form_""edge"""	216
"lemma_""edge"""	217
feats_44	218
"form_""Given"""	219
"lemma_""give"""	220
"form_""this"""	221
"lemma_""this"""	222
feats_PronType=Dem	223
"form_""kind"""	224
"lemma_""kind"""	225
feats_34	226
"form_""business"""	227
"lemma_""business"""	228
"form_""climate"""	229
"lemma_""climate"""	230
feats_24	231
"form_""what"""	232
"lemma_""what"""	233
"form_""marketing"""	234
"form_""problems"""	235
"lemma_""problem"""	236
"form_""your"""	237
"lemma_""your"""	238
"form_""company"""	239
"form_""face"""	240
"lemma_""face"""	241
"form_""next"""	242
"lemma_""next"""	243
"form_""10"""	244
"lemma_""10"""	245
feats_74	246
feats_83	247
feats_88	248
"form_""Based"""	249
