	motifs_int	motifs_str	CEDIN	CEREG	CEJEC	CDPC
[{532, 54}, {73}, {3}]	[{532, 54}, {73}, {3}]	{lemma_,,pos_PUNCT} {pos_DET} {pos_NOUN}	68	105	56	49
[{73, 135}, {3}, {8, 9}]	[{73, 135}, {3}, {8, 9}]	{pos_DET,lemma_un} {pos_NOUN} {lemma_de,pos_ADP}	107	113	33	40
[{3}, {8, 9}, {73, 100}]	[{3}, {8, 9}, {73, 100}]	{pos_NOUN} {lemma_de,pos_ADP} {pos_DET,lemma_le}	563	538	299	222
[{73}, {3}, {8, 9}, {3}]	[{73}, {3}, {8, 9}, {3}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {pos_NOUN}	217	210	125	111
[{3}, {9}, {73}, {3}, {9}]	[{3}, {9}, {73}, {3}, {9}]	{pos_NOUN} {pos_ADP} {pos_DET} {pos_NOUN} {pos_ADP}	242	292	114	76
[{73, 100}, {3}, {195}]	[{73, 100}, {3}, {195}]	{pos_DET,lemma_le} {pos_NOUN} {pos_CCONJ}	83	121	60	42
[{3}, {8, 9}, {73}]	[{3}, {8, 9}, {73}]	{pos_NOUN} {lemma_de,pos_ADP} {pos_DET}	631	640	332	262
[{9}, {73}, {3}, {9}, {73}, {3}]	[{9}, {73}, {3}, {9}, {73}, {3}]	{pos_ADP} {pos_DET} {pos_NOUN} {pos_ADP} {pos_DET} {pos_NOUN}	241	322	125	89
[{73}, {3}, {8, 9}, {73}, {3}]	[{73}, {3}, {8, 9}, {73}, {3}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	317	367	163	129
[{9}, {73}, {3}, {195}]	[{9}, {73}, {3}, {195}]	{pos_ADP} {pos_DET} {pos_NOUN} {pos_CCONJ}	66	112	57	35
[{3}, {9}, {27}]	[{3}, {9}, {27}]	{pos_NOUN} {pos_ADP} {pos_PROPN}	58	127	25	32
[{195}, {73, 100}, {3}]	[{195}, {73, 100}, {3}]	{pos_CCONJ} {pos_DET,lemma_le} {pos_NOUN}	72	82	41	27
[{73, 100}, {3}, {8, 9}, {73, 100}, {3}]	[{73, 100}, {3}, {8, 9}, {73, 100}, {3}]	{pos_DET,lemma_le} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET,lemma_le} {pos_NOUN}	253	261	135	97
[{73, 135}, {3}, {9}]	[{73, 135}, {3}, {9}]	{pos_DET,lemma_un} {pos_NOUN} {pos_ADP}	139	171	49	51
[{73, 100}, {3}, {155}]	[{73, 100}, {3}, {155}]	{pos_DET,lemma_le} {pos_NOUN} {pos_ADJ}	370	396	173	165
[{9}, {73}, {3}, {9}, {73}]	[{9}, {73}, {3}, {9}, {73}]	{pos_ADP} {pos_DET} {pos_NOUN} {pos_ADP} {pos_DET}	310	374	170	105
[{3}, {195}, {3}]	[{3}, {195}, {3}]	{pos_NOUN} {pos_CCONJ} {pos_NOUN}	59	107	53	43
[{27}, {27}, {532, 54}]	[{27}, {27}, {532, 54}]	{pos_PROPN} {pos_PROPN} {lemma_,,pos_PUNCT}	100	193	14	65
[{54}, {9}, {73}, {3}]	[{54}, {9}, {73}, {3}]	{pos_PUNCT} {pos_ADP} {pos_DET} {pos_NOUN}	112	130	27	41
[{9, 111}, {73}, {3}, {9}, {73}]	[{9, 111}, {73}, {3}, {9}, {73}]	{pos_ADP,lemma_à} {pos_DET} {pos_NOUN} {pos_ADP} {pos_DET}	109	105	60	25
[{73, 135}, {3}, {8, 9}, {3}]	[{73, 135}, {3}, {8, 9}, {3}]	{pos_DET,lemma_un} {pos_NOUN} {lemma_de,pos_ADP} {pos_NOUN}	76	69	16	30
[{9}, {135}, {3}]	[{9}, {135}, {3}]	{pos_ADP} {lemma_un} {pos_NOUN}	122	216	69	51
