""	"Dim 1"	"Dim 2"	"Dim 3"	"Dim 4"	"Dim 5"
"{37}"	0.342760880035103	0.65995244753185	0.3322399222932	0.0236392946288969	0.00057953200614608
"{3}"	0.269411672983379	0.36158184342765	0.17680684917496	0.00854259131897993	0.000199757944125233
"{106}"	0.264642227383506	0.405595855976827	0.152670327767103	0.0830434447552146	0.00140489198093984
"{37,440,441,443}"	0.191763849315795	0.380681884740105	0.212095818390066	0.00614764307869903	0.000270049104340701
"{443}"	0.192125549335075	0.380481151268244	0.211686734845403	0.00619889343758648	0.000276112320162295
"{5}"	0.225837813999398	0.243722813756617	0.108371805365078	0.00897530628925487	0.000113150134207424
"{3,5}"	0.217642403846248	0.231363279379846	0.0993901179808468	0.0101863437268252	0.000167953659149752
"{120}"	0.200720014605689	0.211045590979494	0.101592448465122	0.00419773257467492	3.12987679433354e-05
"{3,120}"	0.19338493235657	0.194498862755985	0.090539874863434	0.00518630333028423	7.5567671805482e-05
"{101}"	0.225176459957309	0.345665359749666	0.13131319200488	0.0220505334868847	0.00165403421142999
