	motifs_int	motifs_str	k	M	f	t	T	indice
{37} {3,5}	[{37}, {3, 5}]	{pos_PUNCT} {pos_NOUN,feats_Number=Sing}	923	563	923	3493	5729	inf
{31} {37}	[{31}, {37}]	{pos_NUM} {pos_PUNCT}	1087	663	1087	3493	5729	inf
{31,32}	[{32, 31}]	{pos_NUM,feats_NumType=Card}	898	548	898	3493	5729	inf
{37} {101}	[{37}, {101}]	{pos_PUNCT} {pos_PROPN}	880	537	880	3493	5729	inf
{37} {5,120}	[{37}, {120, 5}]	{pos_PUNCT} {feats_Number=Sing,feats_Gender=Masc}	890	543	890	3493	5729	inf
{37,440,441,443} {5}	[{440, 441, 443, 37}, {5}]	{pos_PUNCT,lemma_,,feats_,,wp_,} {feats_Number=Sing}	875	721	1182	3493	5729	inf
{101} {101}	[{101}, {101}]	{pos_PROPN} {pos_PROPN}	908	554	908	3493	5729	inf
{32}	[{32}]	{feats_NumType=Card}	901	549	901	3493	5729	inf
{37} {37}	[{37}, {37}]	{pos_PUNCT} {pos_PUNCT}	1013	618	1013	3493	5729	inf
{101} {37,440,441,443}	[{101}, {440, 441, 443, 37}]	{pos_PROPN} {pos_PUNCT,lemma_,,feats_,,wp_,}	884	539	884	3493	5729	inf
{101} {37}	[{101}, {37}]	{pos_PROPN} {pos_PUNCT}	1324	951	1560	3493	5729	12.08924886456642
{31,59}	[{59, 31}]	{pos_NUM,feats_Number=Plur}	1008	755	1239	3493	5729	11.420614461781796
{3,62}	[{3, 62}]	{pos_NOUN,wp_s}	1025	866	1421	3493	5729	11.334172608347268
{37} {120}	[{37}, {120}]	{pos_PUNCT} {feats_Gender=Masc}	1054	816	1338	3493	5729	11.268964456022912
{443} {5}	[{443}, {5}]	{wp_,} {feats_Number=Sing}	876	721	1183	3493	5729	11.228376195968286
{101}	[{101}]	{pos_PROPN}	1734	1563	2564	3493	5729	11.176337196248872
{3,59,62}	[{3, 59, 62}]	{pos_NOUN,feats_Number=Plur,wp_s}	937	804	1318	3493	5729	11.05044247846671
{31}	[{31}]	{pos_NUM}	1763	1521	2495	3493	5729	11.015080501468336
{37} {3}	[{37}, {3}]	{pos_PUNCT} {pos_NOUN}	1195	1108	1818	3493	5729	6.743755517460962
{37} {59}	[{37}, {59}]	{pos_PUNCT} {feats_Number=Plur}	1054	1055	1731	3493	5729	-0.32010980857441557
{37} {5}	[{37}, {5}]	{pos_PUNCT} {feats_Number=Sing}	1414	1430	2345	3493	5729	-0.6983078957519298
{37} {4}	[{37}, {4}]	{pos_PUNCT} {feats_Gender=Fem}	1009	1026	1683	3493	5729	-0.7923183049773285
{443}	[{443}]	{wp_,}	1768	1808	2965	3493	5729	-1.7793056547998156
{37,440,441,443}	[{440, 441, 443, 37}]	{pos_PUNCT,lemma_,,feats_,,wp_,}	1761	1803	2957	3493	5729	-1.9059824826645804
{3,4} {37}	[{3, 4}, {37}]	{pos_NOUN,feats_Gender=Fem} {pos_PUNCT}	1148	1241	2036	3493	5729	-7.099537041976661
{37,106,306,307}	[{106, 307, 306, 37}]	{pos_PUNCT,wp_.,lemma_.,feats_.}	2171	2264	3714	3493	5729	-7.217519588867114
{106}	[{106}]	{wp_.}	2288	2381	3906	3493	5729	-7.560749268832826
{62}	[{62}]	{wp_s}	1429	1543	2531	3493	5729	-9.534035648038188
{37}	[{37}]	{pos_PUNCT}	2934	3017	4948	3493	5729	-10.723321064046194
{5,120} {37}	[{120, 5}, {37}]	{feats_Number=Sing,feats_Gender=Masc} {pos_PUNCT}	1061	1179	1934	3493	5729	-11.030836883367092
{5} {37}	[{5}, {37}]	{feats_Number=Sing} {pos_PUNCT}	1719	1858	3048	3493	5729	-13.67207434271492
{4,5} {37}	[{4, 5}, {37}]	{feats_Gender=Fem,feats_Number=Sing} {pos_PUNCT}	1033	1174	1925	3493	5729	-15.229538005534327
{3,5} {37}	[{3, 5}, {37}]	{pos_NOUN,feats_Number=Sing} {pos_PUNCT}	1272	1424	2335	3493	5729	-16.345905111749772
{3,120} {37}	[{120, 3}, {37}]	{pos_NOUN,feats_Gender=Masc} {pos_PUNCT}	1092	1242	2037	3493	5729	-16.755676439002098
