	motifs_int	motifs_str	k	M	f	t	T	indice
{3} {20} {5,80,81,82,83} {3,5}	[{3}, {20}, {5, 80, 81, 82, 83}, {3, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	374	158	664	1361	5729	inf
{5,24,80,81,82,83,85} {5}	[{5, 80, 81, 82, 83, 85, 24}, {5}]	{feats_Number=Sing,wp_’,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {feats_Number=Sing}	487	221	930	1361	5729	inf
{5} {19,20} {4}	[{5}, {19, 20}, {4}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Gender=Fem}	409	164	690	1361	5729	inf
{5,24,81,83} {3,4,5}	[{24, 81, 83, 5}, {3, 4, 5}]	{feats_Number=Sing,wp_’,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem,feats_Number=Sing}	409	160	675	1361	5729	inf
{20} {4,5,81} {4,5}	[{20}, {81, 4, 5}, {4, 5}]	{pos_ADP} {feats_Gender=Fem,feats_Number=Sing,pos_DET} {feats_Gender=Fem,feats_Number=Sing}	409	180	757	1361	5729	inf
{120} {20} {3}	[{120}, {20}, {3}]	{feats_Gender=Masc} {pos_ADP} {pos_NOUN}	409	180	759	1361	5729	inf
{5,24,81,83}	[{24, 81, 83, 5}]	{feats_Number=Sing,wp_’,pos_DET,feats_PronType=Art}	533	239	1006	1361	5729	inf
{19,20,50,52} {5,81} {3,5}	[{50, 19, 20, 52}, {81, 5}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	533	228	962	1361	5729	inf
{20} {5,120} {3,5,120}	[{20}, {120, 5}, {120, 3, 5}]	{pos_ADP} {feats_Number=Sing,feats_Gender=Masc} {pos_NOUN,feats_Number=Sing,feats_Gender=Masc}	533	229	966	1361	5729	inf
{3} {19,20,50,52} {3,5}	[{3}, {50, 19, 20, 52}, {3, 5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_NOUN,feats_Number=Sing}	340	148	625	1361	5729	inf
{3} {20} {5} {3,4,5}	[{3}, {20}, {5}, {3, 4, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Gender=Fem,feats_Number=Sing}	340	135	569	1361	5729	inf
{20} {81} {3} {5}	[{20}, {81}, {3}, {5}]	{pos_ADP} {pos_DET} {pos_NOUN} {feats_Number=Sing}	340	140	592	1361	5729	inf
{81} {4} {5}	[{81}, {4}, {5}]	{pos_DET} {feats_Gender=Fem} {feats_Number=Sing}	340	149	626	1361	5729	inf
{81} {120} {20} {5}	[{81}, {120}, {20}, {5}]	{pos_DET} {feats_Gender=Masc} {pos_ADP} {feats_Number=Sing}	340	160	673	1361	5729	inf
{2698} {2602,2605}	[{2698}, {2602, 2605}]	{pos_PRON} {feats_Mood=Ind,feats_VerbForm=Fin}	340	156	656	1361	5729	inf
{5,24,80,81,82,83} {5}	[{5, 80, 81, 82, 83, 24}, {5}]	{feats_Number=Sing,wp_’,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	525	237	997	1361	5729	inf
{59,80,81,82,83} {3,59,120}	[{80, 81, 82, 83, 59}, {120, 3, 59}]	{feats_Number=Plur,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Plur,feats_Gender=Masc}	410	186	784	1361	5729	inf
{20} {5,81,120} {3,5,120}	[{20}, {120, 81, 5}, {120, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Masc} {pos_NOUN,feats_Number=Sing,feats_Gender=Masc}	525	227	955	1361	5729	inf
{3,4} {4,59}	[{3, 4}, {59, 4}]	{pos_NOUN,feats_Gender=Fem} {feats_Gender=Fem,feats_Number=Plur}	405	167	705	1361	5729	inf
{5} {5} {20} {5} {5}	[{5}, {5}, {20}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	405	179	756	1361	5729	inf
{5,24,80,81,82,83} {4}	[{5, 80, 81, 82, 83, 24}, {4}]	{feats_Number=Sing,wp_’,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	405	162	682	1361	5729	inf
{19,20} {5} {5,120}	[{19, 20}, {5}, {120, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Masc}	405	188	794	1361	5729	inf
{3,4} {20} {5}	[{3, 4}, {20}, {5}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	513	213	898	1361	5729	inf
{5} {20} {3}	[{5}, {20}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_NOUN}	513	205	865	1361	5729	inf
{5,24,80,81,82,83} {3,5}	[{5, 80, 81, 82, 83, 24}, {3, 5}]	{feats_Number=Sing,wp_’,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	513	213	896	1361	5729	inf
{5,24,80,81,82,83}	[{5, 80, 81, 82, 83, 24}]	{feats_Number=Sing,wp_’,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	527	237	1000	1361	5729	inf
{5,24} {5}	[{24, 5}, {5}]	{feats_Number=Sing,wp_’} {feats_Number=Sing}	538	241	1017	1361	5729	inf
{19,20,50,52} {5} {3}	[{50, 19, 20, 52}, {5}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {pos_NOUN}	538	231	971	1361	5729	inf
{19,20,52} {5} {3,5}	[{19, 20, 52}, {5}, {3, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	538	231	971	1361	5729	inf
{80,81,82,83} {3} {19,20,50,52}	[{80, 81, 82, 83}, {3}, {50, 19, 20, 52}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de}	425	193	812	1361	5729	inf
{5} {19,20} {3}	[{5}, {19, 20}, {3}]	{feats_Number=Sing} {lemma_de,pos_ADP} {pos_NOUN}	409	164	692	1361	5729	inf
{5,24,81,83} {4,5}	[{24, 81, 83, 5}, {4, 5}]	{feats_Number=Sing,wp_’,pos_DET,feats_PronType=Art} {feats_Gender=Fem,feats_Number=Sing}	410	163	687	1361	5729	inf
{5} {20} {5} {3,5}	[{5}, {20}, {5}, {3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	471	197	828	1361	5729	inf
{80,81,82,83} {3} {75}	[{80, 81, 82, 83}, {3}, {75}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	451	188	792	1361	5729	inf
{5,24}	[{24, 5}]	{feats_Number=Sing,wp_’}	543	243	1023	1361	5729	inf
{3,4,5} {5}	[{3, 4, 5}, {5}]	{pos_NOUN,feats_Gender=Fem,feats_Number=Sing} {feats_Number=Sing}	457	189	797	1361	5729	inf
{3,5} {19,20} {5}	[{3, 5}, {19, 20}, {5}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	457	194	819	1361	5729	inf
{81} {3} {20} {4}	[{81}, {3}, {20}, {4}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	457	189	798	1361	5729	inf
{5} {5,120} {20}	[{5}, {120, 5}, {20}]	{feats_Number=Sing} {feats_Number=Sing,feats_Gender=Masc} {pos_ADP}	460	203	856	1361	5729	inf
{5} {20} {5,81} {3,5}	[{5}, {20}, {81, 5}, {3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	460	193	815	1361	5729	inf
{2601}	[{2601}]	{pos_AUX}	460	216	911	1361	5729	inf
{5,80,81,82,83} {3,4,5}	[{5, 80, 81, 82, 83}, {3, 4, 5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem,feats_Number=Sing}	647	520	2189	1361	5729	inf
{20} {5,81}	[{20}, {81, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET}	840	706	2973	1361	5729	inf
{3} {20} {5} {3,5}	[{3}, {20}, {5}, {3, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	451	191	803	1361	5729	inf
{5} {20} {4,5}	[{5}, {20}, {4, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Gender=Fem,feats_Number=Sing}	451	184	774	1361	5729	inf
{20} {4,5} {4,5}	[{20}, {4, 5}, {4, 5}]	{pos_ADP} {feats_Gender=Fem,feats_Number=Sing} {feats_Gender=Fem,feats_Number=Sing}	451	198	834	1361	5729	inf
{20} {5,81,82,83,120} {3,5,120}	[{20}, {5, 81, 82, 83, 120}, {120, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Gender=Masc} {pos_NOUN,feats_Number=Sing,feats_Gender=Masc}	451	200	841	1361	5729	inf
{81,83} {3,4} {20}	[{81, 83}, {3, 4}, {20}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {pos_ADP}	451	196	826	1361	5729	inf
